,comment,compound,negative,neutral,positive,whether_pos_or_neg
24,This is more serious than Six Sense ㅠㅠㅠ Six Senses just don't feel good and run like this It's really a terrible hybrid,-0.5983,0.265,0.645,0.09,neg
25,3:50 Finger node,0.0,0.0,1.0,0.0,neu
26,"Yangsan-style dance team came to support the high school festival. I'd rather be good at interpreting the songs ... If I pushed out the original concept, I didn't swear at least.",0.882,0.0,0.662,0.338,pos
27,4:16 ㅋ ㅋ Look at K-Lee Lee The gap between team members shouldn't be too big.,0.0,0.0,1.0,0.0,neu
28,I thought it would work if you wear it sexy and sexy.,0.7783,0.0,0.57,0.43,pos
29,"The clothes and the atmosphere are serious, but what if you laugh and sing?",0.6956,0.064,0.665,0.271,pos
30,"1. Kay's fluttering gestures
2. The expressionless expression of maintenance
3. Sweep the head of America
4. Myeongeun Yi's Infinite Mouth Tail
5. Yuna's Mother
It's a song with five points.
I acknowledge the stage.",0.0,0.0,1.0,0.0,neu
31,Uh huh ... Total Poor .. It's worse than Six Sense. K That person is like Six Sense and here and why is it because I can't wink and touch the sky .. ㅠㅠ,-0.5719,0.164,0.769,0.066,neg
32,I'll try the arrangement well.,0.2732,0.0,0.656,0.344,pos
33,"This is emoji ..... ㅋㅋㅋ Rhythm version is wrong in karaoke, ㅋㅋㅋ",-0.4767,0.22,0.78,0.0,neg
34,Yuji doesn't do any lip-syncing.,0.0,0.0,1.0,0.0,neu
35,I want to be sexy .. I want to be innocent ... What should I say?,0.7506,0.0,0.517,0.483,pos
36,"2:47 Seolhyun Here and in Sixth Sense, I'm laughing without a soul.",0.4939,0.0,0.758,0.242,pos
37,1:15 I don't have anything to say ... blah blah blah blah blah,-0.4588,0.5,0.5,0.0,neg
38,"It's good that Ao is good as it looks. I think the other group was as offended as possible.
There's no words in Eo, but I can see what you're talking about",0.2023,0.094,0.788,0.118,pos
39,"I like the comments because they are so correct.
In particular, America's heading to that expression with that lyrics ... What the hell ...",-0.4767,0.164,0.747,0.089,neg
40,"If you're going to be sexy, it's like flying with only the Americas, elites, and Ryu Soo-jeong.",0.7096,0.0,0.718,0.282,pos
41,How did Yu Jiae get chosen?,0.0,0.0,1.0,0.0,neu
42,I don't have anything to respond to the pollen !! I'm doing this ㅋ ㅋㅋㅋ ㅋㅋㅋ,0.0,0.0,1.0,0.0,neu
43,2:03 and 3:06 Editing ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ Mnet I made a reaction ... Now I can't call it Amnet.,0.0,0.0,1.0,0.0,neu
44,I feel worse than I did.,-0.4767,0.508,0.492,0.0,neg
45,Who's done the trial arrangement again? ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,0.0,0.0,1.0,0.0,neu
46,"I think the original concept wants to change, but because there are not a lot of hits, it's like the result that comes out so it hurts a little ㅠㅠ",-0.1698,0.136,0.717,0.146,pos
47,"I'm rolling sexy in the Danube, but the melody is Achu! ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ",0.3595,0.0,0.839,0.161,pos
48,This is worse than Six Sense Why are you doing this?,-0.4767,0.237,0.763,0.0,neg
49,Outstanding groups and complimentary groups are as good as their own colors and interpretive powers.,0.8689,0.0,0.55,0.45,pos
50,I know why they can't go to group 1 even though they have pretty girls.,0.4939,0.0,0.789,0.211,pos
51,They're a little uncomfortable.,-0.3197,0.536,0.464,0.0,neg
52,"Why do two of you guys like Yoo Ji-ae read a song like that? It's been a few years, but I don't practice it.",0.3612,0.0,0.844,0.156,pos
53,Lovelyz's biggest mistake is coming out of Queendom.,-0.34,0.255,0.745,0.0,neg
54,"No. The most serious thing is k ..
Winks all the time.",-0.4201,0.296,0.704,0.0,neg
55,3:56 I think I'm trying to find something good.,0.4404,0.0,0.707,0.293,pos
56,I'm trying to say something good in the waiting room of the other singers ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,0.4404,0.0,0.854,0.146,pos
57,"2:44 Kiwi Songchangha
2:57 Brandnew Hong Sung-joon
Sorry for the inconvenience ...
But it's really reverse ... It's cool",-0.128,0.172,0.724,0.104,neg
58,2:13 Yuna's look haha ​​I feel like this,0.6705,0.0,0.522,0.478,pos
59,"At school, my friend told me it was ridiculous and I played it on TV, but all my classmates popped up. ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ",0.2617,0.061,0.806,0.133,pos
60,It's just Achu who just changed her costume,0.0,0.0,1.0,0.0,neu
61,"I'm just so pretty, but the title starts with a black suit to change the song.
I feel like I'm shaking and wearing it
I think it would have gone to the middle even if I just went to the song and their cups",0.5801,0.046,0.825,0.129,pos
62,"The look is refreshing, why the jacket is taken off ㅋ ㄲ ㅋ ㄱㅋ ㄱㅋ ㄲ ㅋ ㄱㅋ",0.0,0.0,1.0,0.0,neu
63,"Thinking about it right now, it's funny that all the children of the Shaman concept in black before this stage are just before, and the next stage is short.",0.4404,0.0,0.906,0.094,pos
64,Almost the only group of swearing groups in Queen ...,-0.25,0.182,0.818,0.0,neg
65,"At this time, the other groups' facial expressions are real without any presumption.",0.0,0.0,1.0,0.0,neu
66,Queendom BlackArch ...,0.0,0.0,1.0,0.0,neu
67,2:13 sec Ooh! Lol lol,0.7088,0.0,0.337,0.663,pos
68,The costume is the clean and chic dance atmosphere of a city girl. The song is just popping and the background is really floating with fruits and candy. This is a real hybrid. Who changed this?,0.5859,0.0,0.87,0.13,pos
69,2:13 I'm cute.,0.4588,0.0,0.4,0.6,pos
70,"I'm really curious, but what is your position?",0.2014,0.0,0.796,0.204,pos
71,"Debut in 2014 ... Can't Interpret His Song
Mature and sexy are different things.
Actually, when we call 'Bear Girl Six Sense', it's like Lovelyz.",0.8271,0.0,0.717,0.283,pos
72,2:13 ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,0.0,0.0,1.0,0.0,neu
73,Why are you taking off your jacket? LOL Don't pretend to be fatal to a song like this.,0.427,0.147,0.546,0.308,pos
74,"I'm curious about the Six Senses, so I came back to the drums and I'm so thankful that my idols are children and Jeon So-yeon.",0.793,0.0,0.758,0.242,pos
75,Kay is like a trot singer,0.3612,0.0,0.615,0.385,pos
76,I don't listen to songs and only watch videos. Isn't the dance the same as the original song? Danube in the middle? without????? What ... What did you do to the contest ???,0.504,0.0,0.905,0.095,pos
77,I really like Hyojeong's reaction to each stage .. ㅠㅠ,0.4201,0.0,0.741,0.259,pos
78,"If you're going to be sexy, I'll give you a wink + love gesture ... I don't know why you're not fit for the concept ...",0.7572,0.071,0.673,0.256,pos
79,This was before Six Senses ... Ah .......,0.0,0.0,1.0,0.0,neu
80,I didn't know anything strange with so many people before the stage ...?,0.1511,0.0,0.874,0.126,pos
81,"Ha ... I thought Six Senses was the best, but I came in wrong ... Hybrid ...",-0.2144,0.203,0.587,0.21,pos
82,"I'd like to do something good for the song lyrics, but I think the costume will spill over;",0.4019,0.0,0.802,0.198,pos
83,It's been a while since I've come in again but it's always the same,0.0,0.0,1.0,0.0,neu
84,"Even if you bring 100 concepts, it feels like one",0.3612,0.0,0.783,0.217,pos
85,"No, all of the other singers' reactions are responsible for the Korean language ㅋㅋ ㅋㅋㅋ",0.0258,0.126,0.743,0.131,pos
86,2:13 Same as my face.,0.0,0.0,1.0,0.0,neu
87,"This is not an artist who wants to play music, but an idol that the company made to make money ...",0.1779,0.0,0.922,0.078,pos
88,"And sincere agency, Infinite Rocket Punch Golden Child.",0.4019,0.0,0.722,0.278,pos
89,2:13 ㅋ ㅋㅋㅋ,0.0,0.0,1.0,0.0,neu
90,"Achuev
Why do you put in lake dance?",0.0,0.0,1.0,0.0,neu
91,"Ah, everything else is fine, but K's face",0.1027,0.0,0.833,0.167,pos
92,It seems like I can't interpret the song too much.,0.3612,0.0,0.762,0.238,pos
93,I saw this group for the first time with a sexy concept like this.,0.7096,0.0,0.629,0.371,pos
94,I already give my lips a bit of lip sync and lip sync,0.0,0.0,1.0,0.0,neu
95,I can't .. I've been looking for all these guys because they're funny. I need to cleanse them up.,0.4404,0.0,0.847,0.153,pos
96,I'm not sexy at all. Why don't you tell me why?,-0.4168,0.217,0.783,0.0,neg
97,Sujin is the biggest smile,0.3612,0.0,0.615,0.385,pos
98,"???: Imagine being just a sexy queen lol
There's no reason .. Just call Achu!",0.7033,0.109,0.544,0.348,pos
99,"Do not criticize but criticize. Even if it's innocent and funny, it's bad",0.6776,0.197,0.332,0.47,pos
100,Wear clothes roughly sexy and sing a song the same way,0.5267,0.0,0.726,0.274,pos
101,"Even on this stage, I'm laughing and I'm standing on the stage like this lovely, lovely smile
Let's say that ...",0.9531,0.0,0.482,0.518,pos
102,Kay is not sexy. The room is smiling. ㅋㅋㅋ You just need to call K-Tot once.,0.0577,0.14,0.708,0.152,pos
103,What is this ㅋ ㅋㅋㅋ Reward other groups ... Everybody's reaction is not a joke?,0.4238,0.114,0.663,0.223,pos
104,Please stop galk. Why do you think it's lovely?,0.5994,0.154,0.42,0.427,pos
105,"They're hits, but no matter how inverting, do you have to take the concept? What's the sound of bluffing?
I don't know everything, but Ryu Soo Jung is pretty ~",0.4606,0.083,0.744,0.173,pos
106,I only listened to the real song and didn't why. But I learned how to play with Queendom. Really ... What's going on with the song interpretation?,0.34,0.0,0.909,0.091,pos
107,I know why Lovelyz is below other competitors.,0.0,0.0,1.0,0.0,neu
108,2:03 What's the reaction like Munhwa Solar Hangshow Hawasoo?,0.3612,0.0,0.762,0.238,pos
109,"I'd rather wear Shabangbang and dance like Shabang, and it would have been better if I danced Shabok. And the clothes are the same.",0.6597,0.0,0.795,0.205,pos
110,What's the use of lip syncing contests?,0.0,0.0,1.0,0.0,neu
111,"While doing this stage ... I said 98% chance of winning, it's true.",0.802,0.0,0.523,0.477,pos
112,The group that doesn't really fit into the real Queendom lineup ... why can't you be so diverse?,-0.3241,0.12,0.88,0.0,neg
113,I don't even understand their songs.,0.0,0.0,1.0,0.0,neu
114,Interpret what it means,0.0,0.0,1.0,0.0,neu
115,"It's cold and I sneeze, but why don't you take off your jacket?",0.0,0.0,1.0,0.0,neu
116,"2:13 Oh, that's Moya?",0.0,0.0,1.0,0.0,neu
117,"What is this...
I watched it with ° __ °",0.0,0.0,1.0,0.0,neu
118,How old are you?,0.0,0.0,1.0,0.0,neu
119,ㅋㅋ ㄱㅋ ㅋㅋㅋㄲ ㅋ ㅋㅋㅋ,0.0,0.0,1.0,0.0,neu
120,"Personally, I was more angry when I saw Black Art than Six Sense ㅋㅋ ㅋㅋㅋ ㅠㅠ",-0.5563,0.217,0.783,0.0,neg
121,"2:14 This is the challenge of 1,000 pieces of music.",0.0772,0.0,0.874,0.126,pos
122,3:50 I find it especially difficult for these fingers,-0.4201,0.285,0.715,0.0,neg
123,2:44 What is handsome,0.4939,0.0,0.484,0.516,pos
124,This one,0.0,0.0,1.0,0.0,neu
125,I need to mute it and not watch the lyrics.,0.0,0.0,1.0,0.0,neu
126,"3:16 I'm sad but I'm not a fan
It's just because it feels like Mimi's arms are looking sexy.",0.655,0.171,0.531,0.298,pos
127,It's unconditionally girly or sexy.,0.5267,0.0,0.541,0.459,pos
128,2:14 Oh my .. (Why are you?),0.0,0.0,1.0,0.0,neu
129,"It's a stage that makes me lose. I loved the song so much that I could get more songs when I got the Lovelyz song, but I'm really disappointed. It is the board to learn by watching the direction. I thought it would be a good opportunity for this ambiguous group to come out of this program, but the stage was really disappointing. I don't know if I'm embarrassed when I see other group stages. I don't know what I'm trying to show.",-0.6629,0.158,0.733,0.109,neg
130,0:33 Kay's expression is really ...,0.0,0.0,1.0,0.0,neu
131,"The most important thing when setting the stage concept is the contents of the song.
Wearing a sexy costume on black to break the bright and cute image
What's the difference between putting in the most famous song?
Wearing tight clothes, rolling over the floor and singing the crush of unrequited love ??",0.9386,0.025,0.722,0.253,pos
132,"1:19 Arin's expression = my expression
1:31 Sujin's expression
2:14 Yuna expression = my expression
2:47 Seolhyun's expression",0.0,0.0,1.0,0.0,neu
133,Maybe I want to be sexy. I want to do Achu but I just put them together but I just changed clothes in Achu ..?,0.3612,0.0,0.8,0.2,pos
134,2:13 Ohm Catastrophe,-0.6597,0.688,0.312,0.0,neg
135,I'm curious what AO saw on this stage.,0.3182,0.0,0.753,0.247,pos
136,"2:13
Roughly why",0.0,0.0,1.0,0.0,neu
137,Achu Achu sneeze and take off your jacket,0.0,0.0,1.0,0.0,neu
138,2:47 Seolhyun's look at the Lovelyz contest wasn't the face of Oh My Girl from the secret garden stage !! I think some of you might have seen Achu contest in the comments.,0.0,0.0,1.0,0.0,neu
139,"2:38 From here, I decided to take off my clothes and suddenly decide because it was hot.",0.0,0.0,1.0,0.0,neu
140,Isn't Mnet told you? It's the worst out of the program,-0.6249,0.291,0.709,0.0,neg
141,"But if Achu is a sexy version, shouldn't she wink or cute? Seriously what are you doing? 대로 I do it the original style ... Honestly, I think the original song is better .. Only me ... They look good. Why not?",0.9561,0.032,0.584,0.383,pos
142,"Black Underline
Hey hey hey!
They think they are
Others laugh at me",0.5983,0.0,0.755,0.245,pos
143,"If you want to be a girl crush or a sexy concept, you have to change the lyrics and change the lyrics as well.",0.6369,0.061,0.682,0.258,pos
144,1:19 Arin's face looks like a grumpy face by a person who doesn't like baby.,0.6124,0.0,0.688,0.312,pos
145,1:31 Sujin Oh ㅠㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ Oh it was so funny ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,0.5777,0.0,0.828,0.172,pos
146,02:19 Reverse without reverse,0.0,0.0,1.0,0.0,neu
147,It looks like a Japanese idol .. ㅠㅠ Idol team who is a little good in Japan seems to cover Korean songs.,0.6258,0.0,0.779,0.221,pos
148,It's just been the answer since Sixth Sense ...,0.0,0.0,1.0,0.0,neu
149,It's fun to see the comments. ㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,0.5106,0.0,0.752,0.248,pos
150,1:15 Obaim ..? I don't really know what they want now.,0.0772,0.0,0.874,0.126,pos
151,"At this point, it sounds like we are protesting for our sexy concept",0.4767,0.15,0.535,0.316,pos
152,The singers don't know how to react ...,0.0,0.0,1.0,0.0,neu
153,Now the comments are funny,0.4404,0.0,0.58,0.42,pos
154,The clothes and the song don't fit so well.,0.1609,0.178,0.591,0.231,pos
155,1:30 Sujin expression ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,0.0,0.0,1.0,0.0,neu
156,"The first contest number of views is 1,126 million times, but Lovelyz is 2.44 million times ...",0.0387,0.0,0.933,0.067,pos
157,"Honestly, I think Lovelyz comes out here and ruins the image. Girl Crush Concept The song that I sing is a beautiful song ... Because it is a hit song, I grabbed a concept that suits Achu well.",0.6705,0.111,0.667,0.222,pos
158,There's a reason it doesn't work ...,0.0,0.0,1.0,0.0,neu
159,"1:55 No dance break ㅋㅋㅋ ㅋㅋㅋ When I was in middle school, I changed to music rewind and suddenly danced",-0.296,0.115,0.885,0.0,neg
160,"진짜 ㅋ ㅋㅋㅋ ㅋㅋㅋ No, I can only say this. 'Fool' No. 1 What was the America's expression before the wasabi ..... It's pretty",-0.0516,0.172,0.703,0.125,neg
161,"I would rather come out with a edgy choo ㅠㅠㅠ Why do you want to keep sexy, if you want to choose a good song ㅠㅠ Really upset ㅠㅠ",0.6133,0.088,0.64,0.271,pos
162,"ㄹㅇ Before the start of the song, I thought of the early dance and dance breaks and dressed .. I feel like I'm wearing a suit and cotton candy.",0.3612,0.0,0.909,0.091,pos
163,Reason for watching this video: There are handsome people in the middle,0.4939,0.0,0.775,0.225,pos
164,2:13 Yuna Oh my god ㅋ ㅋㅋㅌㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,0.2732,0.0,0.792,0.208,pos
165,How come they're lip-syncing when they're singing,0.0,0.0,1.0,0.0,neu
166,I think it's the worst reaction in the Queendom stage.,-0.6249,0.339,0.661,0.0,neg
167,It's a real image and it's like this. ㄹㅇ No one finds you sexy.,0.5719,0.122,0.552,0.326,pos
168,Pause after seeing comments,0.0,0.0,1.0,0.0,neu
169,"I wore a dress that was a little loose, and I sang it, but I didn't arrange it anyway,",-0.1289,0.104,0.896,0.0,neg
170,"I'm so fond of them, whether it's because of the agency or the kids. Seolhyun's expression tells everything ... ㅠ",0.4927,0.0,0.849,0.151,pos
171,It's even more crappy than the '9's dance break. ㅋㅋㅋㄲ ㅋ ㄲ ㄱㄲ ㅋ ㄱㅋ,-0.5984,0.261,0.739,0.0,neg
172,Here's what I named Black Achu. ㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,0.0,0.0,1.0,0.0,neu
173,"If you can't do it, uh?",0.0,0.0,1.0,0.0,neu
174,"Drip power is the world's No. 1, although Korea doesn't know anything else.
I feel like I'm crying with a smile",-0.0772,0.209,0.593,0.198,neg
175,02:47 Look at Seolhyun expression,0.0,0.0,1.0,0.0,neu
176,Even Jisoo's kid sucks up his personal part.,-0.3612,0.263,0.737,0.0,neg
177,1:14 You don't do any lip syncing?,0.0,0.0,1.0,0.0,neu
178,"2:03 Ah, why do you think this dance dance is so funny ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ",0.5777,0.0,0.81,0.19,pos
179,"In-depth analysis
First of all, the girly atmosphere is not good for the impact on stage. But it seems that Achu chose that song because it was a good song when they were most confident and didn't care about the concept.",-0.4492,0.159,0.767,0.074,neg
180,Ryusujung is better than that,0.4404,0.0,0.58,0.42,pos
181,"02:39 Kids, put on your jacket again ...",0.0,0.0,1.0,0.0,neu
182,"Whenever I see the stage, I have a common sense that I can't do music analysis. Even if I'm not an expert, I can't understand why it's ruining music by interpreting the atmosphere, lyrics, and so on.",-0.25,0.061,0.939,0.0,neg
183,"3:16
Everyone is sexy ~ ...
Really..",0.5267,0.0,0.595,0.405,pos
184,2:16 The two of you are cute and handsome.,0.7351,0.0,0.53,0.47,pos
185,"The clothes, the songs, the expressions are all playing separately. They don't even understand song.",0.2023,0.0,0.886,0.114,pos
186,"rather
Power innocence .... Lyrics are pure innocence ... Sexy .... Dogs grief ... What is the feeling of playing separately ...",0.7717,0.103,0.514,0.383,pos
187,This is the worst gel,-0.6249,0.506,0.494,0.0,neg
188,"Kay sings like a moonlight angel, if it's a sexy concept",0.7096,0.0,0.543,0.457,pos
189,1:30 Sujin expression ㅋㅋ Same as our expression,0.0,0.0,1.0,0.0,neu
190,1:36 I see it harder ....,0.0,0.0,1.0,0.0,neu
191,No other singers reaction is too soulless,-0.296,0.268,0.732,0.0,neg
192,"I don't have a cute song melody arrangement and just put the middle part and match the atmosphere with the part
It's sexy money.
It doesn't really fit",-0.1045,0.154,0.737,0.109,neg
193,Real catastrophe. It's a catastrophe when I put a sexy love concept into an innocent love song,0.6597,0.284,0.258,0.458,pos
194,Innocent is much better than apology.,0.6705,0.0,0.316,0.684,pos
195,1:19 Contributing to her sister,0.0,0.0,1.0,0.0,neu
196,I don't work for my company. I don't know much about music. Lovelyz Don't let the image fall but let's go straight.,0.3291,0.0,0.89,0.11,pos
197,I'm just trying to do what I want to do because I'm out of Queendom. But it's kinda funny. movement..,0.4417,0.0,0.813,0.187,pos
198,I really appreciate the YouTube algorithm that predicts this response and brings the latata to the related video.,0.4576,0.0,0.842,0.158,pos
199,2:13 Facial expression,0.0,0.0,1.0,0.0,neu
200,What is this really?,0.0,0.0,1.0,0.0,neu
201,I wish we could do this now,0.4019,0.0,0.649,0.351,pos
202,1:56 Achu Dan Brownie,0.0,0.0,1.0,0.0,neu
203,"I'm so sorry for the sexy concept now .. ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ Initially, the sexyness doesn't exist.",0.4228,0.08,0.75,0.17,pos
204,The comments are so funny lol,0.7795,0.0,0.37,0.63,pos
205,2:14 This is what my mom looked at my report card,0.0,0.0,1.0,0.0,neu
206,Ah ~ I think I'll sigh when I look at you ~,0.0258,0.0,0.864,0.136,pos
207,I think you'll have a stye if you look at it. I love Lovelyz.,0.6369,0.0,0.704,0.296,pos
208,2:10 Dog laugh 닼 ㅋㅅㅋ ㅅㅋㅋㅋ ㅋ ㅋㅋㅋ ㅋㅋㅋ Collect all the sexy sexy and sweep the floor Achu!,0.8932,0.0,0.567,0.433,pos
209,.... So that song is that costume. So that's how you take off that song?,0.0,0.0,1.0,0.0,neu
210,"No ... No matter how you arrange the arrangement, Achuro never catches up with the concept of sexy ... Absolutely ... Look at the lyrics. Sexy is impossible.",0.5423,0.125,0.652,0.224,pos
211,"2:03 Oh, Mamamu reaction is funny lol.
Dance break ~~!
Wow ~~ !!",0.8854,0.0,0.491,0.509,pos
212,2:19 Half I. C. Really ~,0.0,0.0,1.0,0.0,neu
213,You're a company that works well.,0.2732,0.0,0.656,0.344,pos
214,"How long does it take to be sexy and girly? Affiliates Just like Lovelyz ... Write it as an arrangement and read it as the original song. If you do this, AOA will laugh at you.",0.8957,0.0,0.731,0.269,pos
215,Baby Soul is not caught by the camera,0.0,0.0,1.0,0.0,neu
216,1:11 seconds ..... no ㅠ ㅠㅠㅠ,-0.296,0.355,0.645,0.0,neg
217,"It's bad ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ
Honbibaeksan Dilemma",-0.6369,0.464,0.536,0.0,neg
218,1:51 What's a gin 'mouth? It's amazing,0.5859,0.0,0.568,0.432,pos
219,"Six Senses can make excuses that the original song was too big
This is no excuse",0.1027,0.117,0.691,0.191,pos
220,Paap-❤️,0.0,0.0,1.0,0.0,neu
221,Why do you look like a lip sync?,0.3612,0.0,0.706,0.294,pos
222,"The background and the song are pink but the costume is black ㅋㅋㅋ Is this the most popular black pink?
Please think about and dress up the kids ...",0.7958,0.0,0.792,0.208,pos
223,2:13 This expression contains all the endings of this video.,0.0,0.0,1.0,0.0,neu
224,These guys are gag ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,-0.34,0.156,0.844,0.0,neg
225,2:46 Funny ㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,0.4404,0.0,0.58,0.42,pos
226,"Ah, when you comment",0.0,0.0,1.0,0.0,neu
227,It's worse than six senses,-0.4767,0.437,0.563,0.0,neg
228,2:03 Mamamu and SoulX. LOL,0.5473,0.0,0.531,0.469,pos
229,Why aren't there any surges at this time?,0.0,0.0,1.0,0.0,neu
230,"2:03 Wow ~ Dan, ha ... I feel like this (Jessica)",0.8271,0.0,0.408,0.592,pos
231,No comments Are you laughing and have a pain in your bones? ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,-0.3182,0.232,0.633,0.135,neg
232,2:38 anti-horsepower test,0.0,0.0,1.0,0.0,neu
233,3:08 My mouth is weird,-0.1779,0.298,0.702,0.0,neg
234,Something like a nightcore version on YouTube,0.3612,0.0,0.667,0.333,pos
235,Modifications are so dry ....,0.0,0.0,1.0,0.0,neu
236,"It's a song, but you're wearing all-black chains and boots? ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ This song is also difficult to arrange dark, but because of the lyrics ;; What are you guys doing?",-0.5588,0.099,0.901,0.0,neg
237,ㅠ ..... what should I really do ............,0.0,0.0,1.0,0.0,neu
238,Where is the index part? ㅠㅠ,0.0,0.0,1.0,0.0,neu
239,"Wow, people are so funny. I still want to close this video and the Saxony video. You guys are funny",0.9161,0.0,0.539,0.461,pos
240,"Because of this, his career is similar, but his group + understanding of his songs is clearly different.",0.5499,0.0,0.818,0.182,pos
