,comment,compound,negative,neutral,positive,whether_pos_or_neg
27,Mama everyone has a cool voice so it's better to hear.,0.6682,0.0,0.594,0.406,pos
28,I'm not a fan of Mamamu. How many times have you seen this?,-0.2411,0.151,0.849,0.0,neg
29,I really want to go to the Mamamu concert before the end of my life.,0.1513,0.0,0.891,0.109,pos
30,This is the day after we played for two consecutive days in Daegu?,0.34,0.0,0.833,0.167,pos
31,It's awesome .... This program is a complete concert.,0.6249,0.0,0.631,0.369,pos
32,You can be so sexy. I was born to be a real artist.,0.656,0.0,0.696,0.304,pos
33,"I've never seen a girl group as good as Mamamu in a girl group. Really, this is not a girl group.",0.4404,0.0,0.854,0.146,pos
34,Mamamu is really real,0.0,0.0,1.0,0.0,neu
35,"Excuse me, but are the other groups live? There's a time when I'm confused. Live tea is big and believes. The singer should be good at singing",0.2617,0.095,0.743,0.162,pos
36,"If Mamamu just sings, isn't it a hit?",0.0,0.0,1.0,0.0,neu
37,"Just Mamamu is Mamamu
Enjoying the stage, responding with the audience, and above all the skills are good ㅠㅠㅠ",0.743,0.0,0.73,0.27,pos
38,"If you don't fall in love with Mamamu, you can fall in love with anyone.",-0.7741,0.341,0.659,0.0,neg
39,"Really so good
What's the atmosphere?
4:30 sec chords look too",0.5379,0.0,0.742,0.258,pos
40,Wheein's so good.,0.4927,0.0,0.385,0.615,pos
41,I just put it all on ㅋ ㅋㅋㅋ ㅋㅋㅋ I'm really a fan,0.3804,0.0,0.776,0.224,pos
42,Mamamu is like a steamed group of artists,0.3612,0.0,0.706,0.294,pos
43,Sounds like Blue Dragon Film Festival than original song lyrics ㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋ ㅋㅋㅋ ㅋㅋㅋ,0.7906,0.0,0.579,0.421,pos
44,"Ratata children see ..
Destiny Omargirl.
You look AOA ..
Even if I turn around
In the end, see this
Repent and become nothing again",0.0,0.0,1.0,0.0,neu
45,"Wow, it's really cool. Wow, you sisters are yelling at the other side of the earth.",0.8805,0.0,0.561,0.439,pos
46,"It's great to have a concert for two days and live like that, but it's amazing that it doesn't contain any vocals in that great sound, and it's so wonderful that it's the only one that's full in the air.",0.9743,0.0,0.61,0.39,pos
47,Mamamu is better to enjoy the stage.,0.7269,0.0,0.45,0.55,pos
48,I'm cheering for Park Bom Mao Children AOA These three groups did not have a joke in their hit song I really saw my mouth wide open ㅠㅠ I know Mamamu is coming up with a good AOA so good; Especially Hyejeong is so cute ㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ,0.9017,0.034,0.729,0.236,pos
49,"I'm ready for you, MoonStar, for you ~ Q",0.3612,0.0,0.706,0.294,pos
50,I can't sing but I want to be there,-0.0857,0.182,0.818,0.0,neg
51,I'm really good at singing.,0.4927,0.0,0.556,0.444,pos
52,Scratch your neck when you sing,0.0,0.0,1.0,0.0,neu
53,"No, it's just like playing on stage.",0.2732,0.21,0.381,0.41,pos
54,"Wow, it's really cool and awesome! Mitch Get it!",0.907,0.0,0.346,0.654,pos
55,"Mamamu 걍 You confront us, we'll finish
I think it's too sunny",0.2732,0.136,0.64,0.224,pos
56,Mamamu is very visual but vocals aren't playful. He's a really good girl group.,0.2916,0.169,0.598,0.233,pos
57,"0:47
I heard you've been so powerful.",0.5598,0.0,0.58,0.42,pos
58,I wanted a long time for the first time,0.0,0.0,1.0,0.0,neu
59,"Honestly, Mamamu alone is the reason why the program came out I think it's different ㅋㅋ Mamamu seems to come out because it is not a problem, I want to stand more on the stage, challenge more, and show more to the fans. If the injury is first place, it's dog honey.",0.1371,0.108,0.774,0.118,pos
60,It looks more handsome than I'm really pretty lol,0.8769,0.0,0.373,0.627,pos
61,I don't understand what's going on with the kids that are already doing well,0.2732,0.0,0.851,0.149,pos
62,Mamamu is charismatic even though she just enjoys as if she has no interest in competition.,0.6249,0.102,0.605,0.293,pos
63,Why is Mamamu here? She's a good guy at first. He's in a concert.,0.4404,0.0,0.791,0.209,pos
64,I got a goose bump and turned off the fan,0.3182,0.0,0.753,0.247,pos
65,Mamamu's crazy singing power is overkill;,-0.34,0.324,0.676,0.0,neg
66,"In the middle of the response, you can see that it is really steamed .. ㄷㄷ",0.0,0.0,1.0,0.0,neu
67,Would you like to relax and play? Mamamu cool is really cool,0.886,0.0,0.361,0.639,pos
68,How are you so pretty (I'm only Korean)?,0.6269,0.0,0.63,0.37,pos
69,"Mamamu is a personal group that personally likes the ability, but the team color is full of energy and powerful without knowing anything.",0.836,0.0,0.645,0.355,pos
70,"I want to sympathize while watching Korean comments, but I can't find it. I really want to add a feature that allows you to view comments by country.
Of course, you can empathize while watching English comments, but because there are so many English, it is a little difficult to find Hangeul, so it is added to the functions such as setting a comment separately. .. I wasn't commenting to see me commenting or fighting each other ㅠㅠㅠ",-0.6663,0.08,0.886,0.034,neg
71,"I'm sure I saw it on the air. I think the perfect stage comes first rather than high rank. So everybody knows that the last is important in the field voting contest, but everyone knows Mamamu, but he doesn't care about it and reduces the strain on the first order of the other teams. There was nothing on stage. Very ripped
I'm expected to tear much more than this one",-0.088,0.065,0.861,0.074,pos
72,2:06 Stuffed ㅠㅠㅠ So cute TT TT TT TT TT TT TT TT TT TT,0.5095,0.0,0.81,0.19,pos
73,Oh Mamamu Decalcomani,0.0,0.0,1.0,0.0,neu
74,"Boys, please stop catching Mamamu",0.0258,0.293,0.4,0.307,pos
75,"I saw another one while watching the broadcast. It was more fun than the rankings, and I didn't have to fight each other. I just wanted to show off a great stage.",0.8713,0.0,0.717,0.283,pos
76,Let's get rid of the lip-syncing kids.,0.0,0.0,1.0,0.0,neu
77,"No, it's not Iae-hee, but Cha Hyun is a fan of Mamamu.",0.3291,0.118,0.664,0.218,pos
78,Ah good ~ ^^ ♥♥,0.4404,0.0,0.508,0.492,pos
79,It's a vocal song ㅋㅋ 4 people Powerful ㅋㅋㅋ,0.4215,0.0,0.682,0.318,pos
80,"There is a reason why Mamamu, who has come to here with one of his talents without any famous senior or company, is applauded. Can't people be enthusiastic about Mamamu who doesn't miss the sum of members, their skills, their own atmosphere, personality, humor? There has never been a group like this and there will be no future. I hope you will play music for a long time.",0.7511,0.091,0.721,0.188,pos
81,ㅋㅋ ㅋㅋㅋ Everyone is so cute.,0.5949,0.0,0.564,0.436,pos
82,"Singing skills, choreography clothes, whatever
I don't know
Performance is
Unconditional Doc Mama ..
It's a real performance girl group top",0.2023,0.0,0.909,0.091,pos
83,Mamamu was crazy ... 4 people.,-0.34,0.375,0.625,0.0,neg
84,"Mamamu is just like K-pop jewelry even if you don't really try and stage as usual.
p.s i'm so gay for moonbyul",0.3612,0.0,0.894,0.106,pos
85,4:40 I'm sure it's a twist. I'm sorry. I'm sorry. I'm sorry.,0.1027,0.295,0.53,0.174,neg
86,It's ripped off ... Is it the concert the day before?,0.0,0.0,1.0,0.0,neu
87,"Mamamu is good at singing, but he is also good at drawing people ..//",0.7003,0.0,0.674,0.326,pos
88,"If you have a senior match, you can't wish for B-girl Six Sense once.",-0.3089,0.158,0.842,0.0,neg
89,I'm so cute in the midst of doing Mamamu's dogs ㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,0.5095,0.0,0.785,0.215,pos
90,3:40 Door by door,0.0,0.0,1.0,0.0,neu
91,Mamamu Mamamu Mamamu just got sick It's just a concert I'm a contest I want to be cool,-0.1779,0.175,0.635,0.19,pos
92,seunghee for sure is the most excited one on the show ㅋㅋㅋ ㅋㅋㅋ,0.6115,0.0,0.688,0.312,pos
93,Mamamu is so much higher level. There are so many hits. There are so many stage experiences.,0.0,0.0,1.0,0.0,neu
94,00:45 I wouldn't be strong at the start.,-0.4023,0.311,0.689,0.0,neg
95,2:36 ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,0.0,0.0,1.0,0.0,neu
96,It's so good to hear the same measure three times in different colors.,0.4927,0.0,0.79,0.21,pos
97,Suddenly it's an atmosphere concert,0.0,0.0,1.0,0.0,neu
98,0:19 I'm really happy to hear that I'm really listening to Mamamu.,0.6115,0.0,0.734,0.266,pos
99,It's great to be able to dance and breathe like that. It's great to sing while moving around at home.,0.8934,0.0,0.614,0.386,pos
100,걍 Mamamu had a concert.,0.0,0.0,1.0,0.0,neu
101,This is live lol,0.4215,0.0,0.517,0.483,pos
102,Mamamu is definitely so good at the stage. Hwasa is a singer who is also the number one solo singer.,0.7745,0.0,0.674,0.326,pos
103,The true singing power is more admitted than the other groups.,0.5413,0.0,0.667,0.333,pos
104,It feels like an endless masterpiece,0.765,0.0,0.377,0.623,pos
105,2:05 Seunghee's reaction ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,0.0,0.0,1.0,0.0,neu
106,Wow ... Solar's voice is really good.,0.7902,0.0,0.417,0.583,pos
107,"Idols can also wear a uniform like this, so please don't do short things like this ..
Namdol is not as good as Mamamu, but they are so cool, and I am sad because I am so sad ㅠㅠㅠ ㅠㅠㅠ",-0.4058,0.203,0.609,0.188,neg
108,"3:18 3:18 3:18
It's creepy",0.0,0.0,1.0,0.0,neu
109,"No, smashed the stage from the first round",-0.296,0.239,0.761,0.0,neg
110,Wow really crazy,0.2748,0.359,0.133,0.507,pos
111,It's really steamy. This is a singer.,0.0,0.0,1.0,0.0,neu
112,2:28 Door to Door LOL,0.5473,0.0,0.531,0.469,pos
113,Haha lol,0.7003,0.0,0.0,1.0,pos
114,2:20 I'm not crazy ...,0.2584,0.0,0.663,0.337,pos
115,There is no idol these days to follow. How good are you if you sing?,0.1779,0.122,0.718,0.16,pos
116,Seunghee Reaction I'm cute only,0.4588,0.0,0.571,0.429,pos
117,"Mamamu after all! This song is like Mamamu song. Even if time passes, I'll remember it as a representative song of Mamamu. Good good good good",0.9245,0.0,0.582,0.418,pos
118,Oh ㅠㅠㅠ Really twisted voice is so good ㅠㅠㅠ Some voices trembling (?) It is good to build chords with each other and it's good ㅠ ㅠㅠㅠ,0.8665,0.07,0.616,0.314,pos
119,I love you so much ㅠㅠ ㅠㅠㅠ,0.6369,0.0,0.543,0.457,pos
120,3:27 Wow rap.,0.5859,0.0,0.345,0.655,pos
121,"Oh, it's really cute oh my girl",0.5095,0.0,0.646,0.354,pos
122,"0:24 Mamamu, are you jealous?",-0.4588,0.429,0.571,0.0,neg
123,Mamamu's real skills are top four.,0.2023,0.0,0.735,0.265,pos
124,"3:19
I can't get out of Hyejin's facial expression and voice at this time ... Of course, 3:15 Yong-yong's wink laugh is the same. The high voice and the expression after that is so beautiful and nice ..",0.9128,0.0,0.745,0.255,pos
125,There is no one in Korea's active girl group than Mamamu ㅋㅇ ㅋㅋㅋ,0.128,0.138,0.692,0.17,pos
126,I don't know why Mamamu came out.,0.0,0.0,1.0,0.0,neu
127,It's really Ami that I'm passing by. Did you eat the CD even though other fans saw it? Live is amazing.,0.5859,0.0,0.84,0.16,pos
128,ㅠ ㅠㅠㅠ ㅠㅠㅠ,0.0,0.0,1.0,0.0,neu
129,2:20 Door to door scratching crazy,-0.34,0.324,0.676,0.0,neg
130,3:39 The expression of the door and ...,0.0,0.0,1.0,0.0,neu
131,"Wow ... cool dog !!!! Wow .. Really, you'll regret having Mammamu in this program. You'll regret that you're already queen.",0.7106,0.185,0.482,0.333,pos
132,"0:30 Honestly, I'm just standing.
It's so awesome, it's so awesome, it's so amazing",0.9616,0.0,0.363,0.637,pos
133,Really cool ..,0.3804,0.0,0.435,0.565,pos
134,"Oh, it's better to have a voice than a singer who doesn't really sing and sing well. Or why do you sing?",0.6124,0.0,0.783,0.217,pos
135,Solar is cool ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,0.3182,0.0,0.685,0.315,pos
136,I can't comment,0.0,0.0,1.0,0.0,neu
137,1:19 ??? : So I couldn't sit down,0.0,0.0,1.0,0.0,neu
138,"It's so amazing that the stage comes out the day after the concert, and I'm so thankful every time I see you doing your best. It's very good because it shows the stage so hard, but it's good because it's a unique class that never goes anywhere.",0.9181,0.026,0.711,0.263,pos
139,It looks really fun ㅋㅋ So it makes me happy,0.807,0.0,0.523,0.477,pos
140,If you are the same person as the children who are the ones who are the ones who are the ones who are the ones in the stage,0.0,0.0,1.0,0.0,neu
141,"I really feel like ""we are Mamamu. This is Mamamu.""",0.4173,0.0,0.742,0.258,pos
142,Hahahaha Real black soul.,0.0,0.0,1.0,0.0,neu
143,Why are you so pretty?,0.6269,0.0,0.493,0.507,pos
144,Mamamu knows how to make a real fandom crazy. Look at the overwhelming majority of the girls in her pants rather than an uncomfortable skirt.,-0.6124,0.185,0.815,0.0,neg
145,Mamamu is really cool,0.3804,0.0,0.536,0.464,pos
146,"As a fan, I see it's creepy and cool every time, but I see other groups enthusiastic ... It's a contest. Me?",0.765,0.0,0.664,0.336,pos
147,After all ~~ I won't disappoint you ~~,0.3089,0.0,0.727,0.273,pos
148,"3:43
Wow, awesome",0.836,0.0,0.112,0.888,pos
149,It's cool. It's really a singer.,0.3182,0.0,0.635,0.365,pos
150,I love the tone,0.6369,0.0,0.323,0.677,pos
151,It's a bit like Beyonce Coachella intro.,0.3612,0.0,0.667,0.333,pos
152,"It's a real song, a performance and a stage chemistry ♥ ️ ♥ ️",0.0,0.0,1.0,0.0,neu
153,"How do you look like a senior ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ
I'm good at dogs",0.6597,0.0,0.671,0.329,pos
154,I was watching the same expression from the cam showing the restriction in the middle,-0.2732,0.139,0.861,0.0,neg
155,Mamamu is really cool and each one's personality is so alive.,0.7149,0.0,0.602,0.398,pos
156,"I'm not a fan of Mamamu but I'm another fan. Mamamu has 4 people, but the stage is empty.",-0.6278,0.304,0.696,0.0,neg
157,Hua really is cool ;;; Sister,0.3774,0.0,0.66,0.34,pos
158,"I've seen this more than 10 times, but looking at it is fun !!!!",0.7662,0.0,0.698,0.302,pos
159,How to tell if it's a sound source or not,0.0,0.0,1.0,0.0,neu
160,"I feel good when I watch this stage video, and I come to heal periodically. I really like the song.",0.6901,0.0,0.711,0.289,pos
161,"Wow, I keep seeing the creepy things in my mouth",0.5859,0.0,0.678,0.322,pos
162,Hyejin screamed when she scrim,-0.3182,0.365,0.635,0.0,neg
163,And crazy..almost concert,0.0,0.0,1.0,0.0,neu
164,"Mamamu is a real back dancer, so I can see 4 people without seeing it. My skills are so good.",0.5777,0.0,0.81,0.19,pos
165,Real Mamamu is enjoyed in Queendom.,0.5106,0.0,0.602,0.398,pos
166,It's a live surprise,0.2732,0.0,0.488,0.512,pos
167,I was stuck in my mouth.,-0.25,0.333,0.667,0.0,neg
168,"Ah, it's so nice to just sit in the introduction section ㅠ ㅠㅠㅠ",0.5598,0.0,0.753,0.247,pos
169,"Mamamu feels like an idol idol
And my sisters are so attractive
It's not like an idol these days, I believe in my skills and enjoy it on stage.",0.8988,0.0,0.668,0.332,pos
170,"Whenever I see this, Ida-hee is laughing at the first time lol lol It's like a boss who's satisfied with watching the video and go back to his plan ...",0.9201,0.0,0.62,0.38,pos
171,Just Mamamu Concerto,0.0,0.0,1.0,0.0,neu
172,"3:40 I'm crazy with a door to door,",-0.34,0.286,0.714,0.0,neg
173,No. But why are you all good? Usually one or two people live awkwardly but every time they see this team they are so good,0.5499,0.108,0.699,0.193,pos
174,Solar voice is so good,0.5777,0.0,0.517,0.483,pos
175,You've crossed the line ...,0.0,0.0,1.0,0.0,neu
176,I'm doing a concert with Mamamu,0.0,0.0,1.0,0.0,neu
177,These guys have a hard time ㅠ ㅠㅠㅠ,-0.1027,0.219,0.781,0.0,neg
178,"Brand new in the middle
You have to trust the Mammu tone",0.5106,0.0,0.769,0.231,pos
179,My favorite song is my favorite song,0.7184,0.0,0.455,0.545,pos
180,The day before the broadcast was a concert. Isn't this great? I would have done it once.,-0.595,0.216,0.784,0.0,neg
181,3:55 Why do you show the audience to the beat?,0.0,0.0,1.0,0.0,neu
182,"Oh, Kim Si-hoon's dog is caught in the middle.",0.0,0.0,1.0,0.0,neu
183,It's a good start,0.4404,0.0,0.408,0.592,pos
184,Wow ... I don't see a real dancer,0.5859,0.0,0.568,0.432,pos
185,Solar is alive,0.3818,0.0,0.435,0.565,pos
186,"To be honest, I don't know why the crew is here.
(There's too much difference)
Mamamu, please!",0.7088,0.0,0.704,0.296,pos
187,"03:39
03:39
03:39
03:39
03:39 I Love You",0.6369,0.0,0.588,0.412,pos
188,Look in the phone if the sound seemed to go quivering breasts concert ㅠ concert of the singer wants to go to the next ㅠㅠㅠ IU Lim,0.0,0.0,1.0,0.0,neu
189,03:01 You look so vague ... The Mamamu stage and the 2ne1 stage overlap ...,-0.2183,0.118,0.882,0.0,neg
190,"Ya Intro, I didn't do anything.
Oh, I'm good at Amie. I'm rediscovering it.",0.4404,0.0,0.805,0.195,pos
191,It's really Mamamu-chan too !!!!,0.0,0.0,1.0,0.0,neu
192,"It's a rare singer who chews with a singer's power rather than a performance. Honestly, everybody's really dancing gorgeously. Mamamu's stage",0.7635,0.0,0.709,0.291,pos
193,❤❤❤❤,0.0,0.0,1.0,0.0,neu
194,I'm crazy lol,0.1027,0.387,0.161,0.452,pos
195,Mamamu fighting! ❤️❤️❤️❤️,-0.4199,0.583,0.417,0.0,neg
196,2:22 The opponent Jimin is conscious of the same rap part.,0.0,0.0,1.0,0.0,neu
197,Oh really Mamamu is another class .........,0.0,0.0,1.0,0.0,neu
198,"Everybody came to the concert in Queendom. It's creepy .. Really prepared and overwhelming.
I feel like ...",0.5709,0.0,0.762,0.238,pos
199,"I really don't need it all, I just love you Mamamu I really only have Mamamu that I think is the coolest girl group I've ever seen ❤️❤️❤️",0.6369,0.0,0.846,0.154,pos
200,Let's find out the real chords.,0.0,0.0,1.0,0.0,neu
201,It's so cool when you grimace while heavy rain.,0.1513,0.173,0.604,0.224,pos
202,"0:06 Dahee, I fell in love with you again.",0.6369,0.0,0.625,0.375,pos
203,It's a big avengers class that sits first and starts the part and stands next to the members.,0.0,0.0,1.0,0.0,neu
204,Ha lovely group real,0.7351,0.0,0.244,0.756,pos
205,Decalcomani is my life bgm ... I always listen and live ㅠ ㅠㅠㅠ,0.0,0.0,1.0,0.0,neu
206,1:07 Zonye,0.0,0.0,1.0,0.0,neu
207,Star rap dog,0.0,0.0,1.0,0.0,neu
208,1 minute 9 seconds Solar Eyebrows,0.0,0.0,1.0,0.0,neu
209,No. What's the beginning of the private concert?,-0.296,0.239,0.761,0.0,neg
210,"Mamamu, Mamamu, the stage artisans have opened all the openings",0.0,0.0,1.0,0.0,neu
211,Look at the beginning of each dance and look .. I decided to smash a stage.,0.0,0.0,1.0,0.0,neu
212,What is the awards stage? ㄷ ㄷㄷㄷ ㅠㅠㅠ,0.4588,0.0,0.667,0.333,pos
213,I love you,0.6369,0.0,0.192,0.808,pos
214,Watching the Queendom .. I'm in Mamamu. (Solar !! Happy twist.),0.6467,0.0,0.7,0.3,pos
215,I can't believe it,0.0,0.0,1.0,0.0,neu
216,"It's all so good, but it's awkward for me to be awkward to play instruments.",0.3961,0.187,0.543,0.27,pos
217,I would also like to see her sister vocals in Queendom.,0.3612,0.0,0.783,0.217,pos
218,Mamamu is love,0.6369,0.0,0.323,0.677,pos
219,OH GIRLS Seung-Hee's reaction is really funny ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ I'm seeing both the full version and the singers' reaction as part of it ㅠㅠㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ Oh,0.4927,0.0,0.898,0.102,pos
220,The door is really handsome. It's like I'm eating rap when I come in with vocals,0.7397,0.0,0.675,0.325,pos
221,Ah ~ I was in a contest. Why do you have a concert?,0.0,0.0,1.0,0.0,neu
222,You are the ones who have been concerts in Daegu for two days the day before ...,0.0,0.0,1.0,0.0,neu
223,Thank you for watching,0.3612,0.0,0.545,0.455,pos
224,This is the idol stage !! I really love my heart.,0.725,0.0,0.639,0.361,pos
225,"Why do these programs?
Editing is completely produced unpretty ...
Why is there a degree of recognition already, especially Mamamu is not enough in our country;",0.0,0.0,1.0,0.0,neu
226,"""If you try it, we're about this !!!!"" As if
The only enemies in this pro are girls.",-0.6562,0.204,0.796,0.0,neg
227,The tone is so good at first,0.5777,0.0,0.616,0.384,pos
228,Mamamu's Sixth Sense,0.0,0.0,1.0,0.0,neu
229,Is it possible to induce audience response with ad lib like a speaker on stage? It's like watching a real concert.,0.6124,0.0,0.773,0.227,pos
230,2:06 Awesome !!,0.6892,0.0,0.299,0.701,pos
231,This is my sister's performance,0.0,0.0,1.0,0.0,neu
232,4:30 It's a real country,0.0,0.0,1.0,0.0,neu
233,"Honestly, what are the comparisons, but is there a group that's rude to Mamamu's skills?",-0.4588,0.222,0.667,0.111,neg
234,Mamamu and Park Bom Cheer is so good !!,0.7951,0.0,0.497,0.503,pos
235,"Real singer. I don't want to look pretty, just enjoy and play on stage. That's cool",0.8714,0.055,0.448,0.497,pos
236,"Kya ~ Cute, pretty and good at singing
Do everything you want to do
-No passing",0.802,0.097,0.442,0.46,pos
237,"Ah, it's really cool",0.3804,0.0,0.536,0.464,pos
238,"Mamamu feels enjoying the stage? I just get a lot of that feeling. And they're so good at it, so they're more crushing.",0.6793,0.107,0.592,0.301,pos
239,I'm so cool,0.3804,0.0,0.435,0.565,pos
240,I'm all good at live.,0.4404,0.0,0.58,0.42,pos
241,Real too cool .. not enough cool words.,0.5574,0.0,0.566,0.434,pos
242,Honestly Mamamu chewed on stage,0.4588,0.0,0.571,0.429,pos
243,"Singing skills have really increased, but everybody did not like early or a little bit before the middle, but this was very addictive and just right ㅠㅠ ㅠㅠㅠ Mamamu is also different! Daebagi Hall",-0.3095,0.083,0.869,0.048,neg
244,"Hey, he's playing with the stage.",0.2023,0.0,0.735,0.265,pos
245,"Good at cool ㅎㅎㅎ
It would have been more charismatic and cool",0.7579,0.0,0.545,0.455,pos
246,Singing Arrangement Communication with the audience and breathing between members The stage manners There is nothing missing. The first place in my heart is just like .. I think the pendulum is crazy .. I'm not going to look at this stage.,0.2472,0.054,0.848,0.098,pos
247,"3:59 I don't think it's Mike, but it's the size of the original voice.",0.4497,0.0,0.803,0.197,pos
248,ㅗㅏ ... I'm a fan of other singers. It's the first time for a group. It's really cool. I think you're alone.,0.4391,0.087,0.699,0.214,pos
249,"Mamamu is a talented idol, so I really love all ages.",0.8431,0.0,0.464,0.536,pos
250,I really want to go back,0.1513,0.0,0.715,0.285,pos
251,Why is this image quality ...,0.0,0.0,1.0,0.0,neu
252,Lighting ... please don't give me from behind ... please ... my eyes.,0.5574,0.0,0.705,0.295,pos
253,"There is something I overlooked, but the only live group is Mamamu.",-0.0129,0.095,0.905,0.0,neg
254,Jin Cha .... I am proud of being unmanned every time I see this ... How can I forget why I loved my sisters .... Every time I remind you .... I'll give you my heart. ..I love you...,0.8834,0.044,0.696,0.26,pos
255,This is the region ~ de,0.0,0.0,1.0,0.0,neu
256,"Can other idols win against Mamamu? It's a talented group, but Mamamu fighting!",0.1511,0.19,0.527,0.283,pos
257,"I always feel that Mamamu performance is amazing, but I think I'm overwhelmed by my singing ability than the stage.",0.6858,0.0,0.693,0.307,pos
258,"Idra, we'll start a fight.",-0.3818,0.464,0.536,0.0,neg
259,"Anyway, Seunghee's reaction is going to be hooking.",0.0,0.0,1.0,0.0,neu
260,It's so cool ... ♡,0.3804,0.0,0.536,0.464,pos
261,3:18 This is the story. This is Mamamu,0.0,0.0,1.0,0.0,neu
262,Door by door,0.0,0.0,1.0,0.0,neu
263,I'm just the king of the end plate.,0.0,0.0,1.0,0.0,neu
264,Wow .. Really reminds me of my old sister. Idol unknown bitch life 1 year of winter vacation Decalcomani MV Intro Hwahwa report crush and treble Solaria seeing the rapture and rap munyeol see and stiffen the mouth ... I'm waiting for you,0.0,0.111,0.779,0.111,neu
265,"It's always good to be the same, whether it's makeup or makeup",0.4404,0.0,0.791,0.209,pos
266,Mamamu concert ..... bbb,0.0,0.0,1.0,0.0,neu
267,"Every time I get a rap by door, Jimin's kitchen",0.0,0.0,1.0,0.0,neu
268,I think it will be ranked by the fandom difference .... And I think Mamamu itself is the top among the girl group in the stage performance part (I was really excited about the awards ceremony.),0.7574,0.0,0.805,0.195,pos
269,It's a real dog rap,0.0,0.0,1.0,0.0,neu
270,So good ...,0.4927,0.0,0.385,0.615,pos
