,comment,compound,negative,neutral,positive,whether_pos_or_neg
26,"Sometimes Seolhyun or Hyejeong are so different from when they acted. is not it...? Is it the same person? In doing this, I feel the world calm when acting. Hello my heart Hello my heart will be hit by aoa sisters .. Hi .. These sisters are just me i am force !!!!! Power !!! Evening !!!!!! Park !!!!! Evening !!!!! Park !!!! Force !!!!",0.5897,0.0,0.942,0.058,pos
27,No. I'm watching the stage. Why do I feel like watching a concert? I like watching my favorite idol.,0.7003,0.099,0.541,0.36,pos
28,Ah AOA It's so cool that it hurts my heart Seung-Hyun's reaction in the middle ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅠㅠ,-0.0281,0.129,0.747,0.124,neg
29,"Wow, but Seolhyun is really pretty.",0.7986,0.0,0.359,0.641,pos
30,3:48 That cross motion of open arms ... I think it's so pretty. I feel like flowers are blooming. Aoi is really good. ^^,0.8771,0.0,0.654,0.346,pos
31,"Honestly, the arrangement and planning seemed to be the best of the whole team ... I didn't know how to make it Latin, so if it was a sexy or sexy sexy thing, it looked like something elegant and elegant. Feeling up three levels.",0.979,0.0,0.545,0.455,pos
32,4:28 ㅋ ㅋㅋㅋ `Are you tired? ' Cute,0.0258,0.293,0.404,0.303,pos
33,3:54 Jimin jumps twice when she's alone.,-0.25,0.25,0.75,0.0,neg
34,"AOA First Contest 4th Short Skirt
You're the third place in the second contest
3rd contest jealousy baby + jimin lab
Personally, AOA is so good. When they show short skirts and get a lot of votes up, they are humble.
I'm really impressed with the way you change your mood with a smile and a gag, and the comfort of AOA is always outstanding.
In particular, you've been praised this time, and the stage hasn't really been seen a thousand times and it's been over 12 million views recently.
It doesn't really matter what the final stage is, and I've watched a lot of AOA's own special and amazing stages, so I hope that AOA wants to make the stage that AOA wants. I've been so good at the private stage. I think that Seolhyun can't shoot dramas these days. Thank you very much
I don't want them to suffer from sexual harassment or ridiculous bad guys. Of course, if there are people who like it, there are some people who don't like it. Wouldn't it be great if I used to motivate my teamwork development? I don't want to be too proud or too disappointed in whatever happens, as the roller coaster suddenly falls off when I go up.
Now, I'm expecting a stage that reflects their opinions like the stage of Nanahae, rather than showing sensations to the public by singing clothes with excessive exposure and lyrics. Can't be ignored
And I think that I like AOA songs a lot. Short skirts, samanthas, short hairs, thumping, good luck, jealousy. Baby sounds excited or humming, especially good luck. Did you hear the baby song? It's a really famous song. I listened a lot and danced so much. The memories I always had with my sister are still clear.
It was a fantastic vision
Jimin, I'm good at rap and these days I've got a nickname because of the tree.
Hye-jung, general's laughter spirit was so funny.
Yuna, I've liked it since AOA CREAM
The treble goes up so well that I hope to be careful with my neck.
Seolhyun, you're watching the stage. It's not a sound joke. I've been doing dramas these days.
Chanmi, I'm so impressed with dancing at Six Puzzle, I'm pretty good at rap, I'm the youngest AOA, but I'm cheering with my sisters.
Jimin Hyejeong Yuna Seolhyun Chanmi
AOA Forever, I love you, cheer up",0.9951,0.052,0.741,0.206,pos
35,It's really different from the old video.,0.0,0.0,1.0,0.0,neu
36,Kya ..... Really .. Anything like this.,0.4144,0.0,0.685,0.315,pos
37,"No Korean?
Honestly, there were a lot of AOA blanks, but also a lot of members
It seemed to be different but it was like biting teeth.
I feel like AOA will be doing something with the Queen",0.7845,0.039,0.754,0.207,pos
38,"Even if you shoot the advertisement as it is,",-0.34,0.231,0.769,0.0,neg
39,"I like AOA because it's better than when I first released this song and my eyes and mood are better ...
Amnet Editing Too bad I can't concentrate on the performance;",0.5859,0.098,0.67,0.232,pos
40,It feels so different from when I play this song,0.34,0.0,0.769,0.231,pos
41,"If it's sexy or rubber duck, don't worry about changing it to a sexy image.",0.8484,0.0,0.544,0.456,pos
42,I feel something pain on this stage,-0.5106,0.398,0.602,0.0,neg
43,Are you tired? Laugh how funny it would be if you watch in real time.,0.5574,0.136,0.561,0.304,pos
44,"I'm so sexy, it's sexy. It's sexy, understated ... I'm hitting my heart when I zip the skirt. And this group has the longest debut. Devoted to real life",0.9297,0.0,0.635,0.365,pos
45,"It's sexy, you're going to be sexy",0.7783,0.0,0.424,0.576,pos
46,"In the past, only one or two were brilliant
Now all shines together
I cheer for you",0.7964,0.0,0.664,0.336,pos
47,"Lovelyz Black Achubo I feel like I'm pierced inside. I was called as a military president by taking off a little at the beginning of A.A., but I don't think many of them are really good. ,
I didn't know if the sound was so good. In the past, AOA sounded like a child, so Seolhyun didn't really stand out.",0.9271,0.0,0.779,0.221,pos
48,"No, it's so perfect, the dance is really neat",0.7258,0.142,0.387,0.47,pos
49,These guys ruined their talents.,-0.0258,0.341,0.33,0.33,neg
50,"Jimin's atmosphere isn't really a joke.
Too handsome with others
Concentrated",0.3311,0.155,0.59,0.255,pos
51,"3:04 Oh, Shu-hua is cute.",0.4588,0.0,0.571,0.429,pos
52,Is this a sexy ring lol ?????,0.7998,0.0,0.358,0.642,pos
53,"2 people are missing
Like this is the complete body of AOA",0.0772,0.161,0.657,0.182,pos
54,"2:58
[System] Hyejeong is embarrassed by hanging on the chair",-0.3612,0.217,0.783,0.0,neg
55,"There's no shortage than the previous 7 people, but 5 people feel the stage.",-0.2732,0.237,0.763,0.0,neg
56,"Personally, it's really a wasteful group. If you continue to be active .. AOA's ability to take advantage of this opportunity, I'm glad that AOA is re-lighted again. Every member is shining.",0.8957,0.0,0.67,0.33,pos
57,"Why is Seolhyun not a center? TT, but the short skirt stage is tight",0.0,0.0,1.0,0.0,neu
58,무 come out creepy .... Arrangement is also full and Myeongbul Heoheo ㅠㅠㅠ,0.0,0.0,1.0,0.0,neu
59,It's a real legend,0.0,0.0,1.0,0.0,neu
60,"Reminds me of a little musical Chicago's cell block tango, cool and sexy",0.4215,0.165,0.511,0.324,pos
61,"As for performance completion, this team is the first. The stage is not uneasy and there are many things to see",0.2924,0.0,0.902,0.098,pos
62,It's not cool but it's really cool,-0.4449,0.44,0.56,0.0,neg
63,my very first time watching anything AOA was their you performance so this came as A SHOCK !! love them tho.,0.3508,0.128,0.689,0.183,pos
64,my very first time watching anything AOA was their you performance so this came as A SHOCK !! love them tho.,0.3508,0.128,0.689,0.183,pos
65,"The song I wanted to do, the clothes I wore to wear. Yes. Nobody's compelling, that's all you need to do.",0.5574,0.0,0.787,0.213,pos
66,"The kids are capable, but how much money did your agency have to do, so how did you miss the stage?
The pot broke out this time.",-0.5859,0.178,0.764,0.057,neg
67,Woah ~ Keep watching ~ You'll see me like this,0.3612,0.0,0.737,0.263,pos
68,3:04 앜 ㅋㅋㅌㅋ ㅋㅋㅋ,0.0,0.0,1.0,0.0,neu
69,"It feels like a big picture
Do you after a short skirt?
cool",0.5859,0.0,0.652,0.348,pos
70,"No, even though Jimin's voice pops out, I think aoa songs are lived by Jimin's voice. I really can't follow that voice. Most people don't like Jimin's angling. Really that voice should be in the girl group Solo can be disgusting but thanks to Jimin's voice, the real songs are stable and I feel like listening to R & B",0.0265,0.135,0.76,0.105,neg
71,Real aoa is a sexy legend.,0.5267,0.0,0.541,0.459,pos
72,"Even if I look at it again, I have a big wave in Seolhyun's black hair",0.0,0.0,1.0,0.0,neu
73,The biggest beneficiary of this pro is aoa,0.4767,0.0,0.693,0.307,pos
74,Ha .. ㅠㅠ Freshly angels ..,0.34,0.0,0.676,0.324,pos
75,I can feel it,0.0,0.0,1.0,0.0,neu
76,1:57 ㅠㅠㅠ,0.0,0.0,1.0,0.0,neu
77,Park Bom Reaction is the funniest lol!,0.7712,0.0,0.428,0.572,pos
78,"I thought the stage would look a bit empty because it was reduced from 7 to 5 people, but to be honest, it was a surprise to see it more than 7 people, and it seemed better to see 5 people evenly. I want you to sing",0.9001,0.029,0.711,0.259,pos
79,I'm so cute because of the number of members.,0.5563,0.0,0.604,0.396,pos
80,"2:33 But I haven't thought about it yet, but I can see that the title is short, but the lyrics look sexy without exposure.",0.6808,0.0,0.82,0.18,pos
81,"Arrangement is really good ..... I keep coming to see the song, why is there no sound ㅠㅠ ㅠㅠㅠ",0.2484,0.103,0.748,0.149,pos
82,3:54 Jimin's gun is cute.,0.1531,0.286,0.357,0.357,pos
83,"By the way, whoever you are, who is the arrangement?",0.0,0.0,1.0,0.0,neu
84,"3:26 Seunghee, I'm so good now.",0.5777,0.0,0.572,0.428,pos
85,It was very hard for me to change all the lines and practice the danves with the five-member version.,-0.1761,0.086,0.914,0.0,neg
86,What's this feeling like this is a song that's so powerful?,0.7661,0.0,0.479,0.521,pos
87,"Every time I see this, oh my girl Jiho is so cute",0.5949,0.0,0.721,0.279,pos
88,"As aoa understands best about queen
In the hit song, she played a tango-style short skirt and told her what kind of stage she was going to perform in the Queendom (changing the concept of the song or reinterpreting the song). Popularity satisfies home fans who cannot see places such as concerts or fan meetings by showing hidden songs that Jealousy and Jimin's unusual raps missed, and aoa's bad stereotypes. Like aoa girl group life increased",0.886,0.087,0.703,0.21,pos
89,"It's cooler to see it biting. Honestly, I haven't seen it except Seol Hyunjimin.",0.4588,0.0,0.8,0.2,pos
90,"No, it's so good that I watched 4.8 billion times a day ... In a few months, a woman made a stage by creating a content or a stage on her own, and AO tried many more concepts and got stuck. It's so good and so handsome and so handsome .. so handsome .. so pretty.",0.9604,0.063,0.599,0.338,pos
91,3:03 What is Shu?,0.0,0.0,1.0,0.0,neu
92,If you listen to this song after listening to you,0.0,0.0,1.0,0.0,neu
93,"I did so well like having a real poison. I'm rather five-membered, so Hye-jeong Yuna and Chanmi Jimin Seolhyun look so good at each one. I didn't know that Yuna was particularly gorgeous. I hope you'll come back with a good song next time. I miss Jimin's unique Rapton.",0.9435,0.085,0.581,0.334,pos
94,0:57 Jiho's face is so full of cats.,0.0,0.0,1.0,0.0,neu
95,"Chanmi, I'm here to see more than bingbang bangle.",0.0,0.0,1.0,0.0,neu
96,Seolhyun is just like taking a picture as it is.,0.3612,0.0,0.762,0.238,pos
97,Wow ... Hyejung is really pretty.,0.807,0.0,0.354,0.646,pos
98,4:47 This is not it ~,0.0,0.0,1.0,0.0,neu
99,Only now we are in a five-member group can we see aoa properly. Everybody has a beautiful tone and performance,0.5994,0.0,0.813,0.187,pos
100,ㅋㅋㅋ ㅋㅋㅋ ㅋ Really AOA It's so sexy and Seung Hee,0.656,0.0,0.673,0.327,pos
101,1:28 No Seung Hee Isn't that cute? ㅠ ㅠㅠㅠ,-0.569,0.438,0.562,0.0,neg
102,01:28 Seung Hee,0.0,0.0,1.0,0.0,neu
103,4:31 Here's a big pop.,0.0,0.0,1.0,0.0,neu
104,From the first AoA drop it ...,-0.2732,0.259,0.741,0.0,neg
105,"How classy and sexy, five of them are entertainers",0.8074,0.0,0.42,0.58,pos
106,4:27 ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ It's so funny ..,0.5777,0.0,0.652,0.348,pos
107,AOA is this ㅋㅋ cute stage was a stage that shows the identity and color of the team can not mimic.,0.4588,0.0,0.864,0.136,pos
108,"I didn't really expect it, but it's a dog stage.",0.0,0.0,1.0,0.0,neu
109,"AOA stage, not really boring
So pretty, sexy and awesome",0.9289,0.0,0.304,0.696,pos
110,Good job really ......,0.4404,0.0,0.508,0.492,pos
111,Praise is really long legs.,0.5574,0.0,0.526,0.474,pos
112,I used to feel sexy and loved me all the time but now I feel like I'm going to kill you because I'm just classy.,0.4939,0.18,0.496,0.324,pos
113,"ㅠㅠ Personally I love the stage camera camera ㅠㅠㅠ I watched the video when I was active, I just grabbed the hips, thighs and zip up, but it's easy to focus on the stage and it's not burdensome. Rather than feeling, I'm feeling like a wonderful sister coming to me (crying)",0.9686,0.0,0.622,0.378,pos
114,0:37 Please look at me,0.3182,0.0,0.635,0.365,pos
115,3:48 So this part is so good.,0.5777,0.0,0.616,0.384,pos
116,"I didn't like AoE very much.
I wanted everyone to be happy and I wanted to see you on stage for a long time.",0.3798,0.089,0.756,0.155,pos
117,1:59 I'm not cute.,-0.357,0.453,0.547,0.0,neg
118,1:58 Why are you so choreographed by Choo Woo?,0.4767,0.0,0.721,0.279,pos
119,Thank you so much for being so pretty and amazing and happy.I always wish to laugh in happiness.,0.9665,0.0,0.368,0.632,pos
120,Oh my girl is so cute 3:04,0.5949,0.0,0.608,0.392,pos
121,"It's definitely good to enjoy the stage than before.
My comeback was delayed and I was a little shy when I dropped out, but I'm happy to be back again after coming out of Queendom. AOA's sexy is good ㅠㅠ It would be great if Han Sung-ho does not participate in the lyrics, but let's just follow Jimin ㅠ",0.9757,0.038,0.623,0.339,pos
122,You're awesome. Don't be silly.,0.6157,0.131,0.367,0.502,pos
123,Seunghee's reaction is so funny.,0.5777,0.0,0.517,0.483,pos
124,It's not just sexy prettiness but facial expressions are really good.,0.527,0.124,0.593,0.283,pos
125,"Who said AOA retirement
It's Liz. It's not dead yet.",0.5334,0.0,0.723,0.277,pos
126,"0:25 Cute, cute girl",0.7184,0.0,0.25,0.75,pos
127,Cool ... Really .. Charismatic.,0.3182,0.0,0.635,0.365,pos
128,Aoa sisters are so pretty,0.6269,0.0,0.493,0.507,pos
129,ㅋ ㅋㅋㅋ Pollen in your eyes at the end of the game ㅋㅋㄱ ㅋㄱ,0.0,0.0,1.0,0.0,neu
130,"On the contrary, it turns into a five-member group, and when I see this stage, every member looks better and seems more attractive",0.7264,0.0,0.757,0.243,pos
131,"Eight years later, it just appears.",0.0,0.0,1.0,0.0,neu
132,"It is the best of all the stages I have seen in recent years. Honestly, AOA is such a good group.
The best Korean girl group right now is AOA.",0.936,0.0,0.627,0.373,pos
133,"Everybody was covered by Seolhyun and she couldn't see the light.
It was covered",0.0,0.0,1.0,0.0,neu
134,"Seung-hee, do it quietly ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ",0.0,0.0,1.0,0.0,neu
135,"It's really different. I can't ignore the rings. The dance is hard, and it's not what it is.",0.2438,0.075,0.799,0.126,pos
136,"04:31 Are you tired?
Seunghee cute lol",0.4404,0.228,0.315,0.457,pos
137,How can you do it right after this concept?,0.0,0.0,1.0,0.0,neu
138,"Yuna plays a role Hyejeong is good at supporting vocals, and rap is Jimin's voice, and the main dancer's praise is finally shining, and most of all, she's even more perfect at the unique visual center called Seolhyun.",0.9371,0.0,0.675,0.325,pos
139,Interim Seung Hee Sigang lol,0.4215,0.0,0.588,0.412,pos
140,"Oh, I'm really sexy. You're so pretty.",0.8012,0.0,0.41,0.59,pos
141,"This is the only time you see
Stop it ,,,",-0.296,0.196,0.804,0.0,neg
142,"In fact, songs, dances, and clothes can be sensational. I thought it would be higher, but I'm looking forward to the next stage.",0.0,0.0,1.0,0.0,neu
143,"I'm just on stage, but it's fine.",0.296,0.0,0.732,0.268,pos
144,4:26 Are you tired? ㅁㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,-0.4404,0.266,0.734,0.0,neg
145,No. Why is the first contest a record guide?,-0.296,0.239,0.761,0.0,neg
146,The costume is pretty ㅠㅠㅠ ㅠㅠㅠ,0.4939,0.0,0.61,0.39,pos
147,There is no member who falls in appearance and ability with the real one either,0.0258,0.126,0.743,0.131,pos
148,ㅋ ㅋㅋㅋ ㅋㅋㅋ Seung Hee Lee Action Zone ㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ Are you tired? ㅋ ㅋㅋㅋ ㅋㅋㅋ,-0.4404,0.172,0.828,0.0,neg
149,What are you doing about 3 minutes in Yeshuahua?,0.0,0.0,1.0,0.0,neu
150,Now let's spy concept with the guns,0.0,0.0,1.0,0.0,neu
151,Oh my girl reaction is really good. Lol Just normal girl reactions.,0.7408,0.0,0.615,0.385,pos
152,"When I appeared and AOA dropped it and when I came out with a short skirt title, I felt a force that I could not express in words.",0.0,0.0,1.0,0.0,neu
153,General Hyejeong should not be so sexy here ..,0.656,0.0,0.647,0.353,pos
154,I think Seolhyun's voice lives in Mina's part. I want to listen to this version,0.0772,0.0,0.902,0.098,pos
155,".. Seolhyun, I will see why it came up ㅠㅠ ㅠㅠㅠ Exclusive ㅠㅠㅠ",0.128,0.0,0.88,0.12,pos
156,"I really liked the short skirt song, but now I'm listening to OH 500 million times only with this version",0.2609,0.0,0.898,0.102,pos
157,I love you,0.6369,0.0,0.192,0.808,pos
158,04:31 You're tired of it.,-0.4404,0.42,0.58,0.0,neg
159,3:04 It's so cute raising my shoes,0.5949,0.0,0.608,0.392,pos
160,Hyejung I'm so pretty but I can't get used to it ..... Where did you go ... ㅠㅠ,0.3732,0.0,0.862,0.138,pos
161,Why do you think it's possible?,0.0,0.0,1.0,0.0,neu
162,Really amazing performance,0.624,0.0,0.328,0.672,pos
163,No! This part is so articulated,-0.3595,0.333,0.667,0.0,neg
164,2:24 ㅋㅌㅌ ㅌㅋㅋㅋ Oh my sister ...,0.0,0.0,1.0,0.0,neu
165,Seolhyun styling is so pretty,0.6269,0.0,0.493,0.507,pos
166,I really enjoyed watching the Queendom stage but I think the aoa stage will be turned every day ...,0.3174,0.0,0.874,0.126,pos
167,Hyejeong is so graceful ㅠㅜ TTTTTTTTTTTT TT TT TT TT TT TT,0.5949,0.0,0.74,0.26,pos
168,0:57 Look at the eyes.,0.0,0.0,1.0,0.0,neu
169,"Suddenly, I was in the middle of a shoe kick in the middle.",0.0,0.0,1.0,0.0,neu
170,Sisters have me whit ㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ,0.0,0.0,1.0,0.0,neu
171,Arrangement is the heart of God.,0.2732,0.0,0.704,0.296,pos
172,Real artisan stage masters,0.0,0.0,1.0,0.0,neu
173,3:04 Shu Hwa Really,0.0,0.0,1.0,0.0,neu
174,These sisters have a long rest but I can't believe they're nervous. I'm so nervous that I can't believe I'm nervous.,0.6871,0.0,0.692,0.308,pos
175,"Everybody admit to aoa praising
Honestly, oh my girl, Seung Hee reaction
I'm looking for Queendom.
This is not it ~",0.8074,0.0,0.672,0.328,pos
176,What should I do .. Jimin's voice is over.,0.0,0.0,1.0,0.0,neu
177,"AOA 6TH MINI ALBUM [NEW MOON]
➡ TITLE – Come See Me
➡ ALBUM RELEASE 2019.11.26 6PM
#AOA #ACE_OF_ANGELS # 에오 에 # 6TH_MINI_ALBUM #NEWMOON",0.0,0.0,1.0,0.0,neu
178,Seolhyun is so pretty,0.6269,0.0,0.422,0.578,pos
179,"I'm so good at Eo now, look much stickier
I fell down when I was singing",0.4927,0.0,0.803,0.197,pos
180,"Oh, I'm so cool.",0.4572,0.0,0.501,0.499,pos
181,Sexy but not just sexy,-0.3536,0.413,0.338,0.248,neg
182,I don't know how many times I'll be able to do this over and over again ... I'm going to kill you ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ,-0.6908,0.17,0.83,0.0,neg
183,Park Bom in the midst of everything is so good.,0.5777,0.0,0.706,0.294,pos
184,"I look at you and see a short skirt, so it feels like a sexy concept can be so cool ...",0.8464,0.0,0.621,0.379,pos
185,And Seolhyun beautiful looks,0.5994,0.0,0.435,0.565,pos
186,"It's a legend, it's a legend, it's an Eogel Legend video. I can't express it with human words. TT ㅠ ㅠㅠㅠ",0.0,0.0,1.0,0.0,neu
187,"It's a sexy song
Moulin Rouge makes me feel very arrange
I've gotten it out
Only the word awesome ... !!!!!",0.8647,0.0,0.675,0.325,pos
188,Whats so good ;;;;; I can see it's elaborate.,0.4927,0.0,0.687,0.313,pos
189,"AOA: I'm not dead yet
Mamamu: I'm about this
Oh My Girl: Get Me
Children: I'm like this
Park Bom: I'm back
Lovelyz: I ..........",0.7133,0.0,0.787,0.213,pos
190,"I feel like I'm showing how much aoa has grown so much
I feel proud all the time.",0.7063,0.0,0.705,0.295,pos
191,"Whether you look at this stage or you look at this stage, you look at this stage.",0.0,0.0,1.0,0.0,neu
192,"In the meantime, I wiped something in your eyes. 5:04",0.0,0.0,1.0,0.0,neu
193,"It's so pretty, I'm going to chase it. Ahhhhh .. It's sexy. I can't follow my footsteps.",0.7841,0.0,0.67,0.33,pos
194,"From now on, I want to fan aoa
Sisters are awesome.",0.7717,0.0,0.476,0.524,pos
195,"I hope you can overcome the criticism of the public so much that you want to be a growing tree, not a flower that grows.",0.25,0.108,0.672,0.22,pos
196,"As a 6-year-old fan, I really tears. I wasn't worried about anything. I wanted to see vocals, dances, and lots of practice.",0.3091,0.101,0.693,0.206,pos
197,Oh Seung Hee Reaction,0.0,0.0,1.0,0.0,neu
198,I think it's better because the concept is clear and not distracting.,0.7497,0.0,0.52,0.48,pos
199,"No it's not sexy; Persephoneianiana from the world of flock; No, Hades; ㅅ; ㅠ ㅜㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ",-0.7332,0.356,0.644,0.0,neg
200,"Wow, but I don't know who the five members are, and the stage is just full ...? Rather, 5 people fit better together and the individual looks good and looks good. This time I saw AOH again! It's really sexy and awesome.",0.9843,0.0,0.528,0.472,pos
201,2:26 I'm so good at it.,0.5777,0.0,0.572,0.428,pos
202,2:52 No ~~~ Cute!,0.2714,0.294,0.267,0.439,pos
203,"It's a pity that the other members went out as fans, but on the other hand, it's good that all the members get noticed. Especially Yuna Hyejeong ..",0.8201,0.047,0.711,0.241,pos
204,I really cheered for aoa because of this Queendom.,0.5563,0.0,0.661,0.339,pos
205,1:42 Howling Wolf ...,0.0,0.0,1.0,0.0,neu
206,Seolhyun and Jimin are overwhelming ..... Seolhyun's face looks like Liz and Jimin looks attractive because it is more attractive than voice and atmosphere ....,0.8074,0.0,0.726,0.274,pos
207,"Vibrant from
And Hye Jung is really coming. The short skirt was a song for Hye Jung.",0.5267,0.0,0.815,0.185,pos
208,Everyone is very classy ... Especially Seolhyun ♥♥,0.4927,0.0,0.687,0.313,pos
209,Haha .. sisters ㅠㅠ ㅠㅠㅠ really the best ㅠㅠㅠ ㅠㅠㅠ,0.8166,0.0,0.517,0.483,pos
210,4:25 Uncle,0.0,0.0,1.0,0.0,neu
211,"A memorable stage to announce the new beginning of AOA, the 5th most memorable stage in Queen's Kingdom.",0.0,0.0,1.0,0.0,neu
212,"Seolhyun, I'm really crazy",-0.4005,0.473,0.527,0.0,neg
213,I can't really cheat ... How many times have I seen you sisters?,0.4013,0.0,0.788,0.212,pos
214,"Ah, that's not it here !! That's it in you or the sea !!! Why are you so funny?",0.7104,0.0,0.786,0.214,pos
215,Look at my reaction,0.0,0.0,1.0,0.0,neu
216,My eyes are so sexy.,0.656,0.0,0.478,0.522,pos
217,"Awesome ..... Aoi ... Please help me ..... Aoh ㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ Omgirl's reaction because it feels like a real fan, it's cute ㅋㅎ ㅋㅋㅎ ㅎㅋㅎㅋ ㅎㅋㅋㅋ",0.9423,0.0,0.542,0.458,pos
218,This is called rice,0.0,0.0,1.0,0.0,neu
219,What is Jimin's decadent beauty?,0.5859,0.0,0.513,0.487,pos
220,Arrangement is better than the original song ㅠㅠ,0.6369,0.0,0.536,0.464,pos
221,Wow really cool ...,0.7501,0.0,0.238,0.762,pos
222,"AOA
Wow!",0.6239,0.0,0.196,0.804,pos
223,From the first sound of shoes ...,0.0,0.0,1.0,0.0,neu
224,Real song editing also AOA best suited to the original song and listened well,0.8225,0.0,0.561,0.439,pos
225,"Again, 3:08 Jimin's camera is invisible.",0.0,0.0,1.0,0.0,neu
226,"I'm pretty everyone, good bye ~~~~~~",0.7269,0.0,0.396,0.604,pos
227,Queendom sees the taste of Seunghee and the rainy season reaction. The funniest expression of Seunghee's up tension and rainy season,0.1779,0.192,0.667,0.141,neg
228,2:17 I like this part of the dog,0.3612,0.0,0.706,0.294,pos
229,I feel like I'm looking back at AOA skills while watching Queendom.,0.3612,0.0,0.8,0.2,pos
230,"Wow, it's a sexy sexy girl.",0.891,0.0,0.159,0.841,pos
231,Lazy sexy is this !! It's different from sexy and pretending.,0.7418,0.137,0.383,0.48,pos
232,4:59 Cute dog,0.4588,0.0,0.4,0.6,pos
233,Queendom Editor Who? If you want to focus on the stage,0.0772,0.0,0.885,0.115,pos
234,4:42 ~ Just move the pelvis several times is a good dance ~! ~~ !! Hahahahahahahahahaha,0.5826,0.0,0.775,0.225,pos
235,I can't ignore the record too. AOA Really cool.,0.5723,0.0,0.561,0.439,pos
236,"You might not want to do it because you're exposed to it, but it's more of a performance, so it's classy, ​​nice and professional.",0.6132,0.085,0.754,0.161,pos
237,"4:26 Now if you only hear this part in a short skirt, you're tired. I think ㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋ ㅋㅋ ㅋㅋㅋ",-0.4404,0.139,0.861,0.0,neg
238,"I've seen a lot of red and dark lights, but I think it's annoying at the scene ... You know they don't see kids in those lights.",-0.5499,0.129,0.871,0.0,neg
239,This is really sexy,0.5709,0.0,0.448,0.552,pos
