,comment,compound,negative,neutral,positive,whether_pos_or_neg
12,"Oh my girl has been wondering for quite a while, but I think it's an upward line rather than a downward line. I feel like I'm in the middle of nowhere",0.5023,0.0,0.889,0.111,pos
13,"Oh My Girl is a girl group's favorite TWICE loves Oh My Girl
Queendom Report
Someone knows exactly their strengths and feels staged",0.8555,0.0,0.669,0.331,pos
14,"At 3:39, the timing of Mimi's occurrence is wrong, but it seems like you've put a circular motion with your feet in the beginning of the beat ... At first glance, the line is too pretty and the next motion is flowing with water. I didn't think it would be a choreography that I made immediately after making a mistake. I think that Mimi's sense and quickness are great.",0.8765,0.067,0.76,0.173,pos
15,"3:33 I'm the only one in this area ... Seung-Hee rises one by one, and everybody is so pretty and when she decides to cover songs, we always think that the sun is pretty. ...",0.8494,0.0,0.8,0.2,pos
16,"It's another fan who just listened to my song, but the secret garden, especially this stage, seems to be a bit tearful .. The lyrics are not sad and all the members are laughing.
... Is it just me ...",0.8512,0.0,0.795,0.205,pos
17,Oh my girl has a song that really knocks at my heart ㅠㅠㅠ,0.0,0.0,1.0,0.0,neu
18,걍 It's like the stage of a baby's life.,0.3612,0.0,0.706,0.294,pos
19,"The first part of the infant's facial expressions why I'm excited and excited for the days to come, but I feel the mystery just before I take my first step",0.34,0.0,0.884,0.116,pos
20,"When I watched the program, I thought it gave me less power than other teams. As everyone sees the concept that gave me a lot of power, I'm getting dull and seeing this stage again. I feel once again how unique the girl group is.",-0.4019,0.063,0.937,0.0,neg
21,0:23 I'm so cute with infant expressions ... I can't really describe it in words. I like a squirrel piled up with acorns.,0.7481,0.0,0.739,0.261,pos
22,"The small secret garden grew up to be a large garden that everyone can recognize.
Real dreams come true. I believe in that possibility and I will grow my garden hard. Thank you for showing hope and possibilities.",0.8591,0.033,0.709,0.258,pos
23,I would like you to arrange the CLOSER once while doing this pro. Really ㅠ ㅠㅠㅠ Closure Please take the reverse TT TT TT TT TT TT TT,0.6204,0.0,0.826,0.174,pos
24,"If the original activity song just found a secret garden,
The Queendom Arrangement version is like a mysterious girl in a secret garden, playing among the flowers in full bloom.",0.6808,0.0,0.784,0.216,pos
25,"I'm a graduate
00:23 That kind of stage acting from an infant's face isn't easy because it's just pretty.
I personally
Baby acting was like a killing part
So charming",0.4565,0.176,0.57,0.254,pos
26,"Sometimes dreams feel like a burden.
If you don't have a dream, you won't be bothered or lonely.
So I might think it would be relaxing.
But even if nobody knows it, or if you can't see it right away, I believe something that's in shape is holding me in the end.
To the children who are going through the insecure time, to the doubts and pushes themselves, to the youth, to all of us
I hope this story is both cheering and comforting.
-Oh my girl on official Instagram",0.7976,0.116,0.699,0.184,pos
27,Secret garden concept for the first time infant expression can be compressed ㅠ ㅜ ㅠ,0.0,0.0,1.0,0.0,neu
28,It's my lifelong wish to see the closure stage here once and finish the closure.,0.4019,0.0,0.838,0.162,pos
29,I feel like I have sinned and have to live a good life.,0.6597,0.0,0.597,0.403,pos
30,"And the introduction of the infant expression,",0.0,0.0,1.0,0.0,neu
31,"The song itself is good
Since Lee Hyo-ri, Idol is the first idol to express the feeling and atmosphere of a song on the stage with facial expressions rather than body or dance.",0.5267,0.0,0.872,0.128,pos
32,These guys are really just something to me Hello! Probably I'll keep remembering it!,0.0,0.0,1.0,0.0,neu
33,"Toddlers look so unrealistic The more you look like a doll, the more you look like a real doll.",0.6734,0.0,0.731,0.269,pos
34,The first part of the infant's expression is so shocking that I keep coming in. ㅠ ㅠㅠㅠ ㄹㅇ Expression that tells what this song is,-0.541,0.137,0.863,0.0,neg
35,0:21 The introduction of the infant ants really TT TT I'm so pretty TT TT I look around that day .. If you look at the camera like a fairy with those sparkling eyes .. I die.,0.6015,0.091,0.702,0.206,pos
36,"Wait a minute and you'll find out my secret garden
The lyrics are now in my heart
The more I look at Queendom, the more I'm falling into Omgirl.",-0.2212,0.067,0.933,0.0,neg
37,0:26 Seolhyun look at the face ㅠ ㅜ ㅜ ㅠ Pretty girls look at the cute face looking at the pretty girl,0.8555,0.0,0.615,0.385,pos
38,"Oh my girl is so good .. Monghwanmi is the best .. Hyo-Jung's voice is refreshing, so the chorus is always pleasant and every time I look at the stage, everyone is so pretty.",0.9465,0.0,0.654,0.346,pos
39,"Stage that shows 'Oh My Girl' itself
We are oh my girl! And confident, pure, dreamy, fairy-tale stage
Oh my girl sings when I hear something strange and sad, I can't quit. I'm still looking for this stage.
I really hope it's amazing",0.7813,0.097,0.691,0.212,pos
40,"0:24 At this time, the baby's expression is so good.",0.5777,0.0,0.706,0.294,pos
41,Infants dance line gesture gesture .. It melts .. This is a treasure of K-pop beyond the real oh my girl.,0.296,0.0,0.896,0.104,pos
42,"Considering the contest, I thought I would have to use more string instruments to make the arrangements stronger. But the arrangement itself was so good that I just felt good as I was watching the stage.",0.8774,0.0,0.742,0.258,pos
43,"Wow, this is a vocal restaurant ... How come every one sings well ㅠ ㅠㅠㅠ",0.7096,0.0,0.651,0.349,pos
44,Oh My Girl's vocals are always full of vocals. in! Precious ~~ ’I feel so good about this part,0.8286,0.0,0.687,0.313,pos
45,Oh my girl seems to be the only one who fills the first stage! It seems to have followed the purpose of the first round really well ㅠㅠ really great group ㅠㅠㅠ in the fact that they showed their essence when they were armed with the dance team chorus team ㅠㅠㅠ always wow girl!,0.9036,0.0,0.82,0.18,pos
46,Oh my girl's songs are hard to digest like oh my girl. There is an atmosphere with Oh My Girl.,0.2732,0.064,0.822,0.114,pos
47,"Oh my girl is not a pure concept
Fairy Tale Concept
Innocent concept is higher than existing innocent concept
Grand
By the way, I wasn't a fan, but I accidentally listened to the fifth season's song in the room next to Kono and started looking for it from then on.
Personally, I don't like having a non-existent person in the group. In fact, Mimi has similar hair and makeup and no presence. fighting",-0.501,0.132,0.765,0.103,neg
48,First pinwheel with arms? Is it only me making creepy,0.0,0.0,1.0,0.0,neu
49,"Rather than unconditionally strong, I heard the advantages of Oh My Girl. Lovelyz, who was worried because of the similar feeling, gave the difference appropriately and performed well on stage.bb",0.7351,0.062,0.674,0.264,pos
50,"I was late for Queendom, so I fell in love.
Did the singer follow the song?
It's been hard until now, but after waiting a bit, I think we all know there's something wonderful and amazing in it.
I want to smile for a long time because the faces are always smiles
I want to be a team that makes more people feel better",0.9805,0.016,0.621,0.364,pos
51,"No, I really wonder why Oh My Girl doesn't do that much for her skills",-0.296,0.145,0.855,0.0,neg
52,"When the Closer comes out, the game is over.",0.0,0.0,1.0,0.0,neu
53,I think I see dozens more times because of the real infant expression,0.0,0.0,1.0,0.0,neu
54,"Even if you're doing nothing
Girl group oh my girl ... they're so true and talented",0.8009,0.0,0.661,0.339,pos
55,"I regret why I saw this stage, but I went to the secret garden and it seems that the people who live there are doing a welcome show.",0.4767,0.068,0.789,0.143,pos
56,"Queendom wasn't a competitive pro, but a good job .. ㄷㄷㄷ I saw this really, and I loved my mom so much.",0.8849,0.049,0.58,0.372,pos
57,Your skills are so perfect that you don't have to say anything.,0.6948,0.0,0.699,0.301,pos
58,"I knew meborain was good at it, but I didn't know if the infant was good at singing, and it seemed to be a perfect voice for Oh My Girl.",0.8968,0.0,0.689,0.311,pos
59,It was better to protect the color of Oh My Girl among the concepts.,0.6705,0.0,0.686,0.314,pos
60,"Honestly, all the small company girl groups thought it was just because I didn't like it.",0.224,0.117,0.718,0.166,pos
61,"I'm a good group of high and innocent songs at first, but it's not my stalin.",0.3919,0.0,0.781,0.219,pos
62,Oh my girl is a group who is really good at music.,0.4927,0.0,0.758,0.242,pos
63,"I want to listen to ""My Story of Spring"" by Oh My Girl.",0.0772,0.0,0.894,0.106,pos
64,"In fact, there are a lot of audiences who think that they have changed a song well by writing a lot of strong arrangements. Oh My Girl showed the stage as if he came to 'Secret Garden' without damaging the original song as much as the performance as if in a fairy tale.
Oh my girl in this state is wearing hot pants and call the secret garden with girl crush like black pink, it will be more funny. Oh My Girl already has a fairy tale dream crush so that overseas fans call it Fairy Crush.
Is showing. I hope I can continue to show this concept. Arrangements that change the original song a lot from now on ...",0.8994,0.068,0.785,0.147,pos
65,"child..? The mask is very unique and pretty. Something has its own feeling. Like the vocals and masks, mysterious and beautiful. Falling in Toddlers ㅠ",0.8678,0.05,0.594,0.356,pos
66,The impact is too big when the soft voice is stringed and hits with a strong voice from the hook.,0.5106,0.0,0.845,0.155,pos
67,"The secret garden is so special to me because Mimi started vocals, not rap for the first time. I didn't have a chance to stand out but I think Mimi stood out as much as this stage.",0.2205,0.038,0.898,0.063,pos
68,Oh my girl who is the biggest beneficiary of real queen ....,0.4767,0.0,0.78,0.22,pos
69,Clearly kids are smart so I know which concept goes well,0.7579,0.0,0.483,0.517,pos
70,This group is like a group that gets warm,0.5267,0.0,0.577,0.423,pos
71,"1:56 Wow, the bleached hair guy is handsome ...",0.7906,0.0,0.5,0.5,pos
72,I feel so good that I don't even know where Hyojung is in the center,0.4927,0.0,0.79,0.21,pos
73,I can't understand why it's not the first group.,0.0,0.0,1.0,0.0,neu
74,"I'm a song that gives hope to the public that if I'm third in the group, it's already recognized by the public.",0.4404,0.0,0.873,0.127,pos
75,"It's strange to think of the three votes below. Destiny 18676797518
I've heard the secret garden 187646154348
I was fascinated by the secret garden than the lauded Destiny.",0.3182,0.06,0.836,0.104,pos
76,Infant would be number one at once if something went out,0.0772,0.0,0.885,0.115,pos
77,The introduction is really creepy.,0.0,0.0,1.0,0.0,neu
78,Lots of kids are good at singing,0.4404,0.0,0.674,0.326,pos
79,"Queendom: A program that comes to Mamamu to discover the gems of children, to reevaluate AOA, and to make them into Oh My Girl.",0.0,0.0,1.0,0.0,neu
80,I think it would have been nicer if the costume was white instead of black. The song looks like a fairy tale.,0.6597,0.0,0.769,0.231,pos
81,"I haven't mixed a lot of things, but if it's for 3, it doesn't mean it's strong enough to keep the emotions up and grab it. ㅠㅠㅠ ㅠㅠㅠ I like it",-0.078,0.108,0.793,0.099,neg
82,"Oh, I'm really saturated with facial expressions",0.0,0.0,1.0,0.0,neu
83,"Yes, I'm happy from today. ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ
Ah, I didn't know this group.",0.7506,0.0,0.726,0.274,pos
84,It's an intro jackpot ㅠㅠ If you put more in the middle of the clothes bright white clothes would be more dreamy and noticeable ㅠ ㅠ,0.4404,0.0,0.888,0.112,pos
85,This group looks like an idol animation that we saw when we were young. It feels like a fairy tale.,0.6124,0.0,0.773,0.227,pos
86,Listening to my song is relaxing. It's been a while since I'm in my mother's arms.,0.4939,0.0,0.814,0.186,pos
87,Ha .. Jiho's laughing really melts his heart.,0.6808,0.0,0.517,0.483,pos
88,I thought this stage was a legend.,0.0,0.0,1.0,0.0,neu
89,Are they male trainees in the middle? Stop shining ㅡ ㅡ full set of makeup hair among the public and I'll show you how many times it stands out .. ;;,-0.296,0.073,0.927,0.0,neg
90,I watch this video every day with the infant ticket information.,0.0,0.0,1.0,0.0,neu
91,Why aren't your sisters luminous?,0.0,0.0,1.0,0.0,neu
92,1:56 He's a cute dog for a while.,0.4588,0.0,0.625,0.375,pos
93,3:01 LOL LOL LOL LOL LOL LOL LOL LOL LOL LOL LOL LOL LOL LOL LOL LOL LOL LOL LOL LOL LOL LOL LOL LOL LOL LOL LOL LOL LOL,0.9986,0.0,0.01,0.99,pos
94,"The arrangement is vague and secret
It's an increasingly hopeful atmosphere
Like the petals shrunk
We seem to sing hope to make flower ♡",0.8074,0.048,0.653,0.299,pos
95,0:24 Infant close-up real mysterious and pretty,0.4939,0.0,0.652,0.348,pos
96,I watch every night before going to bed and sleep happily in the fairy tale.,0.5574,0.0,0.783,0.217,pos
97,"If you listen to the music of Oh My Girl, the feeling that makes you feel better seems to have a big smile on the leader's face.",0.7096,0.0,0.769,0.231,pos
98,"It's a real song, but all the members have a good understanding of the song. It's so good.",0.8271,0.0,0.645,0.355,pos
99,"Not only do you have good skills, but you know how you can match your arrangements.",0.2382,0.0,0.885,0.115,pos
100,"At this time, Om girls don't know how to do it.
I would have received a higher rank if I was so strong like Destiny.",0.7917,0.0,0.74,0.26,pos
101,I don't know how to see you again and again. Already on the shoulder of the infant in the introduction ...,0.0,0.0,1.0,0.0,neu
102,The secret garden with the most oh my girls and the songs that most my girls can digest well.,0.2732,0.0,0.896,0.104,pos
103,Jiho is so awesome and so beautiful and so awesome.,0.9491,0.0,0.323,0.677,pos
104,"Wow .. I'm not a fan of ohm girl, but it's amazing when an infant laughs",0.9085,0.061,0.451,0.488,pos
105,Replying to @YellowWoman,0.0,0.0,1.0,0.0,neu
106,"I came here because I caught the infant's opening expression, I'll be stuck with you now.",-0.25,0.133,0.867,0.0,neg
107,"Each member's own personality is distinct, but the atmosphere that can be released when one becomes so overwhelming",0.0,0.0,1.0,0.0,neu
108,"Lastly, I'd like to make a closing song with ending songs.",0.3612,0.0,0.783,0.217,pos
109,"Does Hyojung look like a skinny actress?
Song Ji Hyo feeling mature, innocent feeling",0.8271,0.0,0.428,0.572,pos
110,Without a member buried one by one charm and awesome skills ㅠ ㅠㅠㅠ Fairy ㅠㅠ ㅠ ㅠㅠㅠ,0.7783,0.0,0.638,0.362,pos
111,"Every time Hyojeong ""in me ~"" creepy ..",0.0,0.0,1.0,0.0,neu
112,"0:24 Wow, baby expressions ...
Look at this because we'll start this song! ๑◕ ㅁ ◕๑ I feel like this ㅠㅠ
Cute but cool ...",0.8122,0.0,0.669,0.331,pos
113,1:34 It's so nice to have a melody here with Arin Part.,0.5598,0.0,0.734,0.266,pos
114,Nobody knew banana milk was planted in that secret garden.,0.0,0.0,1.0,0.0,neu
115,"Originally, I was a big fan of listening to Oh My Girl. I couldn't realize it because it was soaked in",0.3182,0.0,0.881,0.119,pos
116,Oh my girl is so beautiful and attractive.,0.8464,0.0,0.424,0.576,pos
117,Infant is really pretty. There is a Chinese house.,0.5413,0.0,0.667,0.333,pos
118,I've come to see this many times.,0.0,0.0,1.0,0.0,neu
119,Hyo-Jung seems to make a real person feel good,0.4404,0.0,0.707,0.293,pos
120,"No, I wanted to see Koreans' reaction. It's all English. I liked it so mr just wanted to listen to it normally",0.1531,0.096,0.783,0.122,pos
121,Oh my girl is so pretty ... I'm not a fan but I want you to sing a fairytale song like that,0.6116,0.119,0.635,0.246,pos
122,"I'm really frustrated and grow up every time I hear you ㅠㅠ these things, I'm wasting my life without knowing these examples",-0.7501,0.252,0.748,0.0,neg
123,"This stage reminds me of the video that Hyo-jung was worried about because of the low rank of our precious song, which was the first place in the secret garden.",0.1027,0.123,0.771,0.106,neg
124,3:01 ㅋ ㅋㅋㅋ ㅅㅂㅋ ㅋㅋㅋ,0.0,0.0,1.0,0.0,neu
125,This song omg girl laughs so pretty that I feel good.,0.8811,0.0,0.407,0.593,pos
126,"Personally, Beanie is my taste ㅠㅠ ㅠㅠㅠ Actress Award Idol Prize It seems like a mixture of half and half Ain's tone is so pretty",0.9248,0.0,0.599,0.401,pos
127,"The officials of their company won't see it, but ... It's okay to sprinkle classic beauty on the dream fantasies that Om Girls are good at. I think it's the next part of the Queendom, but I think it's okay for the album concept.",0.9455,0.0,0.695,0.305,pos
128,"Sisters, I'm the chief, I shed a bunch of tears.",-0.2263,0.213,0.787,0.0,neg
129,"These are really strong
00:23 I think one is good
Infant Stage Acting
That expression doesn't just come out because she's pretty, but because she has an understanding of the song.",0.6538,0.0,0.81,0.19,pos
130,I felt like OST's unique ost.,0.3612,0.0,0.615,0.385,pos
131,"It would have been better if the clothes were a little brighter or similar to Hanbok, but it's a pity ㅠㅠ But my sisters always feel better ㅎㅎㅎ",0.5652,0.087,0.682,0.231,pos
132,Hyojung's voice is so good ...,0.5777,0.0,0.572,0.428,pos
133,"Toddler Martin ......... This sister is a real man George ... Jogger, crush and squeeze ..",-0.1531,0.103,0.897,0.0,neg
134,"Arrangement The first part is Korean in front, but the back part is cheerful like carol The other groups are focusing on stage performance and performance rather than vagueness, so even if their eyes are different, it's the first place for me.",0.8402,0.0,0.833,0.167,pos
135,The other girl group's reaction is so different from Lovely's Achu stage.,0.0,0.0,1.0,0.0,neu
136,You started with a thin ribbon and finished with a rope that didn't break. Let's walk only the flower road now ♡♡,0.0,0.0,1.0,0.0,neu
137,"Every time I saw Oh my girl,
These guys are so good and pretty and lovely but I don't want to eat bread.",0.6878,0.053,0.671,0.276,pos
138,I'm so happy that I can tell you more about Ohmgirl through Queendom.,0.6115,0.0,0.734,0.266,pos
139,"Before the arrangement, I literally thought of a secret garden novel. Do you think that the eyes of two people who sneaked into the garden from the night sky bursting with fireworks meet each other and fall in love?",0.7579,0.0,0.843,0.157,pos
140,"Wow, the baby is really pretty at this time ... There is one nice and pretty girl at each performance of Queendom.",0.9272,0.0,0.57,0.43,pos
141,The song itself seems to be a pure and innocent song. Sorrow hidden in the mind in the form of voice or expression? It's good to feel like it's a story. I personally like songs that have this story.,0.7096,0.076,0.694,0.23,pos
142,Hyojeong looks like a good face first ㅠㅠㅠ ah so good,0.8074,0.0,0.458,0.542,pos
143,"I was a secret garden, but I've been watching the stage all of a sudden I'm so ecstatic that I'm going to tear it up ... Everyone says it's not a stage. Actually, I was good but the stage was so good",0.9389,0.0,0.715,0.285,pos
144,I found out with a real singer commercial .. These guys are really good. The song is really my taste .... ♡ Charm and singing.,0.7089,0.0,0.772,0.228,pos
145,Idol stage,0.0,0.0,1.0,0.0,neu
146,It's a real heartbreak to laugh at Mimi's singing.,-0.0258,0.278,0.451,0.271,neg
147,"I thought oh my girl was less noticeable because it wasn't attractive, but it wasn't. I didn't feel it because the soft charm slowly approached strong. Real concept. I'm ready and good at stage.",0.9371,0.039,0.616,0.345,pos
148,"At this time, I didn't know about Oh My Girl and they said they're pretty. It's been a while since you're the stage artisan.",0.4939,0.0,0.868,0.132,pos
149,"At first, I thought it was only a little bit different from the original song, but it was a little weak.",-0.4138,0.162,0.76,0.078,neg
150,"I'm seriously looking at it.
3:01 No ㅠㅠㅜ ㅜㅋㅋㅋ ㅋㅋㅋ ㅋ ㅋㅋㅋ ㅋㅋㅋ",-0.4404,0.281,0.719,0.0,neg
151,Really happy stage haha ​​Hes pretty angels were singing. I want to make the clothes and the stage brighter,0.924,0.0,0.475,0.525,pos
152,"It's a girl group that digests this concept .. I think there's only Oh My Girl. Really. Closer. Secret Garden. Foolish, dreamy and refreshing. It's too bad that I'm growing and fandom is growing. I'm showing more growth with this opportunity.",0.3597,0.117,0.692,0.191,pos
153,"But if you look at it, it's the same with Seolhyun's expression on the stage",0.0,0.0,1.0,0.0,neu
154,"Just before the song starts, the baby's face tells you in seconds what the song concept is",0.0,0.0,1.0,0.0,neu
155,The last chance for Queendom to reverse the closure ... Give me one of the broadcaster's contest concepts. You know what's hidden and what? It's okay once,0.4404,0.0,0.865,0.135,pos
156,Why did you choose this stage as the last arranger? I was really engaged in arranging the final stage.,0.4576,0.0,0.85,0.15,pos
157,The real Om Girls have been creepy arrangements since the beginning of the song after the song started in earnest. ㅠㅠ ㅠㅠㅠ Secret Garden and Destiny as well ...,0.6597,0.0,0.833,0.167,pos
158,"I feel like I'm running in a fantastic dream
The voices are so warm that I feel good on my own.",0.9098,0.0,0.491,0.509,pos
159,"I think I've done a good job of arranging the dim concept. At the end, was this creepy song like this?",0.6597,0.0,0.759,0.241,pos
160,"The more I hear, the more I hear, but the voice of Arin's secret garden is so frustrating.",-0.7279,0.254,0.746,0.0,neg
161,3:01 sec ㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ 화,0.0,0.0,1.0,0.0,neu
162,"All these songs are really good .... Cupid is good and I'm very good .. Every time I come back in the middle of the song, all the songs are good.",0.9148,0.0,0.671,0.329,pos
163,"“I've planted something wonderful and amazing in it, but I can't see it yet, but I'll wait a little while and I'll find out.”",0.5789,0.0,0.808,0.192,pos
164,It's not the stage of this world ... How is this reality? Fairy tale This is ㅠ ㅠㅠㅠ,0.0,0.0,1.0,0.0,neu
165,"Honestly, I want to sing it again in the closure queen ... I want to reverse the song ㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ The closure is really unfair",0.0534,0.117,0.69,0.193,pos
166,"If I have to leave only one of the world's girl songs, I want to leave this song.",-0.0258,0.144,0.778,0.078,neg
167,Seol-hyun is so cute that she compliments the stage.,0.7626,0.0,0.516,0.484,pos
168,It seems like a fairy who leads a toddler to a real fairy tale country.,0.3612,0.0,0.815,0.185,pos
169,"I'm tired of my favorite singer song, but I'm really tired of listening to Omgirl's song. I've fixed it with less than 20 songs in the playlist. I'm really a fan and I love you.",0.7773,0.128,0.617,0.255,pos
170,"If you wear a brighter color of the costume, you will feel better.",0.6705,0.0,0.645,0.355,pos
171,ㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ Really good to see you again TT TT TT TT TT TT TT 0:20 Introduction Real really crazy and so good ... 1:36 So cool ... 3: 07 ~ ㅠㅠ ㅠㅠㅠ ㅠㅠㅠ The best,0.8882,0.056,0.668,0.275,pos
172,"I'm another fan and I love seeing this lol lol lol lol I'm a fan of a completely different genre TT I keep listening to the songs and listen to the arrangement version is 100 times better
Idols who are good at meboman songs really don't like what I'm doing here. Innocent girl group I fell in love with for the first time",0.9818,0.03,0.569,0.401,pos
173,"I found Oh My Girl in Queendom, but the Secret Garden lyrics are so pretty ... Tear me.",0.77,0.0,0.738,0.262,pos
174,"I love you Every morning in the army, close to the weather song, Liar Liar play only the successors are tired of what I'm coming!",-0.2714,0.268,0.493,0.238,neg
175,My favorite group of girl groups Oh My Girl Secret Garden,0.4588,0.0,0.769,0.231,pos
176,"If you think about cancer alone, I don't think it was a stage to receive the three tables below. Lovelyz's concept and song don't match so much that I thought it would be a lovely one. But I saw Hyo-jung crying and I was really ripped off.",-0.6908,0.189,0.736,0.076,neg
177,The first time you laugh at the beginning,0.5574,0.0,0.66,0.34,pos
178,"Hyojung, I love you, I can't really do it",0.6369,0.0,0.588,0.412,pos
179,I'm so lovely I'm gonna die I love you I love you,0.8622,0.174,0.268,0.558,pos
180,"I was honestly worried about how the Oh My Girl, which is the opposite of the Queendom feeling, will give a dreamy and mysterious feeling by adding the unique feeling of Queendom while making a cheerful and peaceful feeling.",0.8885,0.048,0.61,0.342,pos
181,"Even though I tried hard for what I wanted to do, I didn't see the result and when I didn't recognize my family or friends, I felt like reading me.
It's a lot more powerful than just saying,
So even though I have a bright look
I think it's the first time I've listened to a girl group song and thought about myself rather than someone else.
Please give this song a lot !!!!!!!",0.9282,0.019,0.776,0.205,pos
182,Ohm girl is really worth virtue.,0.6453,0.0,0.431,0.569,pos
183,ㅠ ㅠㅠㅠ Now I'm only going to reverse the song of ohm girl ㅠ ㅠㅠㅠ,0.0,0.0,1.0,0.0,neu
184,"Oh, I'm not a fan, but every time I see Queendom, I only think that I'm crazy ㅠㅠ ㅠㅠㅠ In the secret garden, Oh My Girl and the Queen's Oh My Girl compared to the stage video.",-0.5546,0.125,0.875,0.0,neg
185,The lyrics and the stage are so good,0.5777,0.0,0.652,0.348,pos
186,This is the coolest thing. What's the third place? ㅜㅜㅜ ❤️❤️❤️❤️,0.0,0.0,1.0,0.0,neu
187,Everyone is so innocent and laughs brightly and makes me happy. I'm laughing too ........... ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ Oh girl is the best ㅠㅠㅠ ㅠㅠㅠ,0.9647,0.0,0.543,0.457,pos
188,Hyojung vocals are replaced What kind of ear hits it. That high tone is really accurate.,0.0,0.0,1.0,0.0,neu
189,"I was pure looking at this stage, and I was crying because I could only see myself tired of the society.",-0.7184,0.273,0.727,0.0,neg
190,"I didn't know the name of my member, but I know it through Queendom.",0.0,0.0,1.0,0.0,neu
191,The first time a baby starts to look .........,0.0,0.0,1.0,0.0,neu
192,I don't know if you're a male trainee.,0.0,0.0,1.0,0.0,neu
193,Those who are still watching this video. Let's have some 'closer' rice cakes. Swim hard at the music site you use.,-0.1027,0.065,0.935,0.0,neg
194,"Infant is so pretty ㅠㅠ Omgirl is not just pure, but has a strange feeling in the real fairy tale. All of their faces are cute, so they look like fairies.",0.8675,0.056,0.639,0.305,pos
195,I feel like I'm crying every time I listen to the introductory story arranged by the fairy tale concept,-0.1531,0.15,0.728,0.121,neg
196,"Ah ... the more I hear it, the more I listen to it",0.0,0.0,1.0,0.0,neu
197,"This stage is all shining, but this is the stage of life for infants ?? .. Legend
..",0.0,0.0,1.0,0.0,neu
198,"Refreshing kids TT ㅠ costume regret. Since it was a secret garden, I wish it was a green and bright costume.",0.4215,0.125,0.625,0.25,pos
199,It's strange and upset that I've been watching Oh My Girl all the time. I believe I will be more exciting❤❤,-0.5267,0.206,0.794,0.0,neg
200,"3:01 Ah I'm really fond of my secret garden, but I also watch this video to watch this lol lol",0.8967,0.0,0.596,0.404,pos
201,The fairies come down from Heaven to dance and I feel like I'm thrilled to see it.,0.8271,0.0,0.599,0.401,pos
202,I was really crying a lot while watching the stage ... I always heard the words 'when is it?'.,-0.5256,0.184,0.816,0.0,neg
203,헉 .. I pressed it today. An ant hell that can't escape until bedtime ...,-0.7284,0.357,0.643,0.0,neg
204,"Fairy Tales Concept
I think you should listen to the merry-go-round in the amusement park.",0.3612,0.0,0.839,0.161,pos
205,0: 21-0: 23 The line is so pretty,0.6269,0.0,0.63,0.37,pos
