,comment,compound,negative,neutral,positive,whether_pos_or_neg
34,"To be honest
Strange to star Park Bom
The queen and the little girls confront each other.
2ne1 was more than a real queen ...
(Park Bom Sister can be No. 1
Fighting!)",-0.1062,0.159,0.75,0.092,neg
35,Mike too much,0.0,0.0,1.0,0.0,neu
36,It's a microphone problem. I'm eating it.,-0.4019,0.351,0.649,0.0,neg
37,It sounds like the voice is more mature and the pronunciation is more rolled rather than changed.,0.6801,0.0,0.728,0.272,pos
38,Oh my tears come out TT TT ㅠ TT TT Oh I really missed you so much,-0.5256,0.253,0.747,0.0,neg
39,"Wow, I think it's really great ㅠㅠㅠ I want to see more ㅠㅠㅠ ❤️❤️❤️",0.8676,0.0,0.48,0.52,pos
40,"No, I'm not sure what bad microphone problem I'd rather know. I'd rather sing without a microphone.",-0.461,0.316,0.553,0.131,neg
41,Mike screened Park Bom ...,0.0,0.0,1.0,0.0,neu
42,Is there a filter to choose Korean comments only?,0.0,0.0,1.0,0.0,neu
43,"2:26 I don't have a mic, so I beat my ear with my finger.",0.0,0.0,1.0,0.0,neu
44,"Park Bom, I sing very well. I'll cheer you up. cheer up",0.8598,0.0,0.457,0.543,pos
45,It's really like a junior high school student ... ㅠㅠ Really nostalgic song ㅠ Just the lyrics come out ㅠㅠ,0.4201,0.0,0.859,0.141,pos
46,"Park Bom I didn't like it very much, but I've never thought of a funny situation where Mike can't do it well. Competition must be fair. I haven't thought that Park Bom couldn't sing as long as my debut year is old, and I think I prepared a lot by coming out solo. Would you be happy?",0.6668,0.111,0.723,0.166,pos
47,2:22 I can't wait to see you knocking in.,0.0,0.0,1.0,0.0,neu
48,"I love all the girl groups who appear here, but I honestly don't even watch the next episode.",0.765,0.0,0.68,0.32,pos
49,I'll love you even if your hair is a skull,0.6369,0.0,0.656,0.344,pos
50,"It sounds cool in the field, but why is it broadcasting? ㅠ Really one minute and one second was a creepy series so I just waited for the video",0.1655,0.0,0.938,0.062,pos
51,I feel sad because it's my throat and condition and Park Bom is doing such a stage. I always seemed to sing well.,-0.25,0.134,0.776,0.091,neg
52,I love this song so much .. ㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ Mike really utters his voice.,0.6369,0.0,0.769,0.231,pos
53,2:27 Sounds like a microphone problem.,-0.0516,0.329,0.366,0.305,neg
54,Usually the video comes out with a sound correction to listen to it better.,0.4404,0.0,0.805,0.195,pos
55,I still remember this video ㅠ ㅠㅠㅠ ㅠㅠㅠ,0.0,0.0,1.0,0.0,neu
56,Everybody said they heard a song and they said they were crying,-0.4767,0.237,0.763,0.0,neg
57,I really liked this song,0.4754,0.0,0.492,0.508,pos
58,"Spring, thank you for letting me feel back to my school days, my tears are round, spring, thank you for singing again and courage",0.743,0.063,0.664,0.272,pos
59,"Wow, it's really nostalgic",0.5859,0.0,0.441,0.559,pos
60,The transmission is strange ... I never felt this way when I listened.,-0.2023,0.153,0.847,0.0,neg
61,This song is really tearful ㅠㅠㅠ ..,0.0,0.0,1.0,0.0,neu
62,"If you're really good at this, you'll feel more thrilled.",0.7496,0.0,0.556,0.444,pos
63,Now I know why people shed tears at the singers in Totoga.,-0.2263,0.16,0.84,0.0,neg
64,ㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,0.0,0.0,1.0,0.0,neu
65,"I didn't think I'd hear this song again, but it was so salty and grateful.",0.6592,0.0,0.747,0.253,pos
66,2:35 microphone open heart,0.0,0.0,1.0,0.0,neu
67,"Hey, Mnet ... I think the other guys have noticed that the microphone was weird ... In the middle, Park Bom also pointed to the microphone and it was weird. I think ...",-0.34,0.105,0.895,0.0,neg
68,2:27 Park Bom sends a signal,0.0,0.0,1.0,0.0,neu
69,02:27 Trash Mike Toktok,0.0,0.0,1.0,0.0,neu
70,"Wow, I really heard this song when I was in elementary school. ㅠㅠ ㅠㅠㅠ I'm already an adult .. Youtube Memories.",0.5859,0.0,0.826,0.174,pos
71,"As soon as I came out, I cried",-0.3818,0.342,0.658,0.0,neg
72,"I really liked my dog ​​when I was choding, but I started tears from Jeonju ㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ",-0.0781,0.135,0.747,0.118,neg
73,"I found out that Hwasa and Solar's facial expressions have a problem with the microphone.
Who brought Park Bom Kono's microphone?",-0.4019,0.13,0.87,0.0,neg
74,2:28 I'm tapping my finger with a weird microphone,-0.1779,0.195,0.805,0.0,neg
75,I'm trying to say that Mike doesn't work well at 2:27.,-0.2057,0.154,0.846,0.0,neg
76,"No, it's really Mnet. Mike's weird. I don't even notice it with subtitles and no articles. Decreased so many people)",-0.6557,0.285,0.715,0.0,neg
77,"2:34 Mike, what are you gonna do?",0.0,0.0,1.0,0.0,neu
78,How about the microphone?,0.0,0.0,1.0,0.0,neu
79,I want Park Bom to compete in that place ㅠㅠㅠ,0.0772,0.0,0.86,0.14,pos
80,It's too bad Mike.,-0.5423,0.538,0.462,0.0,neg
81,"Obviously, Park Bom sings at once, but Mike's idiot no matter what.",-0.7964,0.417,0.517,0.066,neg
82,What kind of MC microphone did you get from the music pro?,0.0,0.0,1.0,0.0,neu
83,I'm so crazy,-0.4005,0.574,0.426,0.0,neg
84,"This song is already 10 years ago.
I liked listening to 2EN1 music at that time.",0.4215,0.0,0.833,0.167,pos
85,Mike was fine. It would have been a legend of Queendom.,0.2023,0.0,0.833,0.167,pos
86,"2:35 This world-- no one
---------- It can't be replaced
Is this a real story?
What are we going to do with spring? You're responsible, Amnet pd.",0.1179,0.076,0.832,0.092,pos
87,I'll give you the microphone.,0.0,0.0,1.0,0.0,neu
88,I've turned the microphone and I'm not coming out,0.0,0.0,1.0,0.0,neu
89,Mike please .. ㅠ ㅠㅠㅠ TTTT ㅠㅠㅜㅠ ㅠㅜㅠㅠ,0.3182,0.0,0.723,0.277,pos
90,"Mike Oh yes
Amnet please ㅠㅠㅠ ㅠㅠㅠ",0.6124,0.0,0.5,0.5,pos
91,This was a real dog chew song ㅠㅠ ㅠㅠㅠ It's a good dog even now ㅠ ㅠㅠㅠ,0.4404,0.0,0.818,0.182,pos
92,Mike is so annoying.,-0.541,0.538,0.462,0.0,neg
93,2:52 Like this one,0.3612,0.0,0.545,0.455,pos
94,Your voice is so good.,0.5777,0.0,0.517,0.483,pos
95,"Mike is so annoying, how pretty Park Bom's silence is.",-0.0071,0.233,0.535,0.232,neg
96,Park Bom Bom was so cute and cute when it was a lollipop ...,0.8286,0.0,0.587,0.413,pos
97,"Anyone in this world, Mike's King Anna",0.0,0.0,1.0,0.0,neu
98,"Okay, Amnet, you don't test when you give a microphone to a real singer?",0.2263,0.0,0.853,0.147,pos
99,Mike really ha ... I want to hear it properly,0.5034,0.0,0.622,0.378,pos
100,"My chu
The protagonist Park Bom of a billion songs!",0.0,0.0,1.0,0.0,neu
101,"Park Bom's voice is not a substitute ㅋ ㅋㅋㅋ In yg, I insist and prefer this vocal style. I can't follow this tone even if I bring someone lol",0.4215,0.0,0.891,0.109,pos
102,3:58 Who knows who,0.0,0.0,1.0,0.0,neu
103,As soon as I'm done,0.0,0.0,1.0,0.0,neu
104,Don't cry ~~,0.3724,0.0,0.439,0.561,pos
105,I didn't know if there was a problem with Mike.,-0.4019,0.278,0.722,0.0,neg
106,QYoung x Holly bursts when I hear the intro part ... ㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ,0.0,0.0,1.0,0.0,neu
107,Ayu-chan is really,0.0,0.0,1.0,0.0,neu
108,Real face is ruined ... ㅠㅠ,-0.4767,0.383,0.617,0.0,neg
109,I'm crying even if I make a real jeonju ㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ isse,-0.4767,0.114,0.886,0.0,neg
110,Park Bom is the hit song,0.0,0.0,1.0,0.0,neu
111,2:27 I just wanted to run out and change it.,0.0,0.0,1.0,0.0,neu
112,I am more impressed by the idea that female singers would have grown up listening to and singing this song.,0.5256,0.0,0.841,0.159,pos
113,"Huh ... Was there a microphone problem?
I didn't know that Park Bom was so good.",0.2596,0.146,0.651,0.203,pos
114,I don't know all about Park Bom and I apply it with my skills.,0.0,0.0,1.0,0.0,neu
115,"I don't want to admit it, but YG's song was really good at that time. Big Bang and 2NE1 are all lying together.",-0.1822,0.239,0.614,0.146,neg
116,2:25 microphone tapping,0.0,0.0,1.0,0.0,neu
117,"If you really listen to this song
Lyrics and melodies are so touching
When you come out of Jeonju, Jin ㅉ ㅠㅠ ㅔ",0.0,0.0,1.0,0.0,neu
118,Mnet work ㅡ ㅡ How to give a singer a microphone like that.,0.3612,0.0,0.762,0.238,pos
119,2:42 I think they both know there's a microphone problem.,-0.4019,0.278,0.722,0.0,neg
120,2:28 Is it because the microphone is so strange?,-0.3327,0.228,0.772,0.0,neg
121,"We already saw Park Bom
Like the ashes that fall into memory while watching Totoga
It's too early to be a generation of memories and nostalgia ... I thought it would be forever when I was young.",0.3612,0.0,0.93,0.07,pos
122,"It was one of the stages I really wanted to see again ...
I'm so sorry for the microphone.",-0.188,0.093,0.907,0.0,neg
123,Everyone's face hardened because of the microphone problem.,-0.4019,0.278,0.722,0.0,neg
124,"2ne1 perfection I really miss you once. Spring Sister Sister I did really well This is not the same Amnet or Amnet that gave me the microphone so even if you rank below, please cheer up ❤️",0.8689,0.043,0.688,0.268,pos
125,I really liked this song but it was so good to see !!,0.8291,0.0,0.564,0.436,pos
126,"Please don't subtitle this sentence because Mic .. Mike is weird. People keep misunderstanding that Park Bom has a song .. ㅠㅠ At 2:27 minutes, You pointed out that you and I recently heard on Youtube. Please .. Everyone. I don't feel like you've come to me as soon as you can. ㅠㅠ Please let me know.",0.1692,0.107,0.759,0.134,pos
127,"Listening to a real song
So nice
Memories are fresh",0.659,0.0,0.565,0.435,pos
128,Do TT TT this TT TT TT TT TT Why TT TT TT TT TT TT TT,0.0,0.0,1.0,0.0,neu
129,"Park Bom I was worried that it would be burdensome by myself, but I already started the song selection ㅋ ㅋㅋㅋ",-0.3612,0.179,0.821,0.0,neg
130,The tone is really good,0.4927,0.0,0.556,0.444,pos
131,Is it possible to cover a micro like pine like that?,0.6124,0.0,0.615,0.385,pos
132,"Wow, it was creepy to see this stage again.",0.5859,0.0,0.678,0.322,pos
133,I came right after seeing QYoung's fluency.,0.0,0.0,1.0,0.0,neu
134,Goose ~~ Memories are fresh green and not rust,0.3182,0.0,0.777,0.223,pos
135,"Anyway, there are many people who swear and suck
Certainly it's true that you can't see the stage even when you're standing alone on the big stage.",0.0258,0.183,0.661,0.156,neg
136,"Bomb head long!
So pretty!",0.2208,0.311,0.292,0.397,pos
137,Tone bully,-0.4939,0.762,0.238,0.0,neg
138,"I really like it so much, but I'm really annoyed because the song keeps dropping because of the damn microphone. Besides that, Mnet always keeps turning the screen every time the microphone hangs up.",-0.7574,0.188,0.764,0.048,neg
139,"Verse 2? At that point, Mike, ㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ",0.0,0.0,1.0,0.0,neu
140,"I really tears 2NE1 is the most special group in my heart ~ ""Hello is never""",0.2023,0.128,0.698,0.174,pos
141,"When I rehearsed, I'd test the microphone monitor.",0.0,0.0,1.0,0.0,neu
142,"You and I
Isn't it the last move? Lol",0.4215,0.0,0.714,0.286,pos
143,"Mike, shit.",-0.5574,0.783,0.217,0.0,neg
144,"Mike or whatever, the song was so good.",0.5777,0.0,0.652,0.348,pos
145,"Too bad and 2NE1.
Make sure you get together and make a great stage.",0.4404,0.176,0.503,0.322,pos
146,"I was so grateful that I was able to hear this song again on the air, and it was so gritty and sober that I remember when it was just released. I felt it again
But it seems like Park bouncing on the microphone because it keeps dropping, so it's too bad, how bad was it that Mike keeps breaking up?",-0.4087,0.114,0.799,0.087,neg
147,I came to hear today,0.0,0.0,1.0,0.0,neu
148,"While watching the Queendom stage, all of the stage sounds were so individual that I was very excited. But I sang so well that I could be immersed again soon",0.6635,0.0,0.821,0.179,pos
149,It seems like you've noticed that there's a microphone problem ... But Spring's sister's skills are ...,-0.0516,0.141,0.729,0.13,neg
150,"Mike is crazy .. complete jagged .. honestly, the singers also noticed a little from the expression, but Park Bom sent a sign ....",0.0772,0.072,0.844,0.084,pos
151,There are so many microphones. Why do you hold Park like that?,0.3612,0.0,0.815,0.185,pos
152,"Tears. I haven't heard it in a long time, but when I saw the stage, my tears started crying !!
I will see you",-0.8193,0.334,0.666,0.0,neg
153,Mike is so weird ...,-0.3052,0.359,0.641,0.0,neg
154,ㅠㅠ The gold used in the activity of the uniwon or flashing green custom microphone Where is that? Job ㅠ ㅠ Mike status ㅇ,0.0,0.0,1.0,0.0,neu
155,Tears in the eyes,-0.2263,0.388,0.612,0.0,neg
156,"Park Bom, I'm a real queen I'm just a queen",0.0,0.0,1.0,0.0,neu
157,So good,0.4927,0.0,0.238,0.762,pos
158,I was worried that Owing's Mike was so bad.,-0.7712,0.527,0.473,0.0,neg
159,"Mike was weird, I thought it was hard for Park Bom after a long time.",-0.2732,0.22,0.78,0.0,neg
160,"Even though the appearance has changed a bit, the voices and emotions continue as before.",0.0,0.0,1.0,0.0,neu
161,"I'm singin 'when he's singing
Oh it's tight",0.0,0.0,1.0,0.0,neu
162,Park Bom was the main vocal of 2NE1 who drew a idol series. There's a lot of meals here.,0.0,0.0,1.0,0.0,neu
163,Now let's walk on the flower road ~~~~~ Spring ~~~~~~~~ ♥,0.0,0.0,1.0,0.0,neu
164,"I'm not a 2ne1 fan, but I know the sound is garbage. And I'm going to put in a singer reaction to sympathize, but I think it's better to put the reaction in moderation",0.5218,0.044,0.84,0.116,pos
165,"Real Mike ... I screwed up the legend stage, didn't you test it in advance?",-0.4939,0.198,0.802,0.0,neg
166,Park Bom Mack lol ㅋ ㅋㅋㅋ I've been struggling 2NE1 and I'm not good even if I try hard.,-0.4226,0.295,0.58,0.125,neg
167,Is this moment so touching? (Really curious),0.0,0.0,1.0,0.0,neu
168,Get me a mnet microphone,0.0,0.0,1.0,0.0,neu
169,"Wow, it's really mic, but it's really crap.",-0.3484,0.314,0.49,0.196,neg
170,2NE1 I miss you so much Park Bom I've seen an interview that it was really hard but I'm so glad to give you a good song and listen again,0.8592,0.074,0.67,0.256,pos
171,Did you pay for Mike Youngbie?,-0.1027,0.219,0.781,0.0,neg
172,"It was a microphone problem.
What am I?",-0.4019,0.31,0.69,0.0,neg
173,"Wow, when this song came out, I was an elementary school student.",0.5859,0.0,0.725,0.275,pos
174,The song I liked the most among the Park Bom songs ..... 2ne1 I miss you ....,0.296,0.092,0.747,0.161,pos
175,"The voice is really frustrating ... The song is good
Tight feeling;",0.0534,0.192,0.542,0.265,pos
176,"If you hit Park Bom, you and i are crying alongside what you and i 2ne1",-0.4767,0.193,0.807,0.0,neg
177,"Mike ... why did you bring me that?
I'll let you sing.",0.0,0.0,1.0,0.0,neu
178,Amnet really blows up ... what's Mike crazy?,-0.34,0.255,0.745,0.0,neg
179,"Obviously, changed the appearance of Park Bom these days? As a fan who loved 2NE1 so much, I feel so grateful that if I listen to the Park Bom song that came back, I would like to thank you for coming back.",0.9333,0.0,0.687,0.313,pos
180,ㅠㅠ Mike's so foolish ㅠㅠ I keep hearing crackling ㅠㅠㅠ ㅠㅠㅠ,-0.4101,0.233,0.767,0.0,neg
181,Queendom someday 2ne1 I'd like to come out once ㅠㅠ,0.3612,0.0,0.783,0.217,pos
182,"Park Bom's exertion is really ... how cool that song is ...
Do you breathe with your ears?",0.3744,0.0,0.869,0.131,pos
183,Every time I hear the microphone is too bad. I can't listen to this song.,-0.5423,0.226,0.774,0.0,neg
184,I can't help but find a microphone at Kono.,-0.1603,0.214,0.786,0.0,neg
185,Super awesome to make a low quality micro like that dog,0.8555,0.113,0.323,0.565,pos
186,Park Bom's two personal microphones are good,0.4404,0.0,0.674,0.326,pos
187,Park Bom is the one who really takes the stage by herself.,0.0,0.0,1.0,0.0,neu
188,No. Is Parkbom here Bibil Beombab?,-0.296,0.306,0.694,0.0,neg
189,I love you,0.6369,0.0,0.192,0.808,pos
190,"Mnet, please take care of the microphone. What is this?",0.6705,0.0,0.593,0.407,pos
191,The girl groups coming out here will probably listen to this song and raise the dreams of the singer and endure the trainee's life .. It's really creepy.,0.4019,0.0,0.909,0.091,pos
192,Bomi sister's challenge,0.0772,0.0,0.606,0.394,pos
193,Why the mic status?,0.0,0.0,1.0,0.0,neu
194,It's too bad to see you again.,-0.5423,0.368,0.632,0.0,neg
195,Respect my model,0.4767,0.0,0.392,0.608,pos
196,"Park Bom is working hard but Mike seems to have a problem. Of course, Park Bom may have a problem, but 90% can say it's a microphone problem.",-0.8968,0.361,0.639,0.0,neg
197,I miss you,-0.1531,0.615,0.385,0.0,neg
198,"I'm a little poor, but I'm singing this song for you today.",-0.2272,0.16,0.84,0.0,neg
199,Tear tears,-0.2263,0.655,0.345,0.0,neg
200,"I'm floating because of the condition hunting and tension, but the live is a little unstable, the microphone problem is 80%. If you're really attracted to aggression, drag it straight and do it straight.",-0.5742,0.286,0.527,0.187,neg
201,"No, I wanted to hear Park Bom's perfect vocals, Mike Doratnya.",0.3612,0.158,0.576,0.266,pos
202,Too bad a talent.,-0.1779,0.479,0.137,0.384,neg
203,"2:20 2:34 2:40 3:57 I'm having a problem with the mic, but I turn the cameras to singers and fans.
I'll change it when it's dark.
. You indicate by hand that there is a problem in 2:27 ... so it is not controversial ;;",0.1994,0.111,0.762,0.127,pos
204,Park Bom is nervous as well,0.0,0.256,0.488,0.256,neu
205,I was confused because of the choir.,-0.3182,0.315,0.685,0.0,neg
206,Did you shed tears?,-0.2263,0.388,0.612,0.0,neg
207,"She was 2en1. Do you need words?
Everybody is a piece of creepy memory. Park Bom and this song are really creepy.",0.0,0.0,1.0,0.0,neu
208,Who brought you Mike? Connomic,0.0,0.0,1.0,0.0,neu
209,"No matter how bad it sounds, it doesn't sound that way. 100per microphone problem",-0.8074,0.431,0.513,0.056,neg
210,Why are you doing Mike? !!!,0.0,0.0,1.0,0.0,neu
211,"It's Mike's problem. You start verse 2. Anyway, there's a gesture that taps with the finger of a microphone.",-0.4019,0.144,0.856,0.0,neg
212,2:11 Isn't it pink hair?,0.0,0.0,1.0,0.0,neu
213,Did you buy it from Mike Daiso?,0.0,0.0,1.0,0.0,neu
214,I'm not good at Mike. Mnet ...,-0.3412,0.286,0.714,0.0,neg
215,Park Bom Mike is weird.,-0.1779,0.298,0.702,0.0,neg
216,"For some reason, 2NE1 members seem to be crying",-0.4767,0.279,0.721,0.0,neg
217,"From the touch of a microphone, Park Bom keeps popping because the microphone doesn't come out properly
I can't see Mike tasted like that.
I'll give you the right microphone
What are you doing? ;;;;",0.3612,0.0,0.928,0.072,pos
218,It's a highlight right before the cancer.,-0.4588,0.407,0.37,0.222,neg
219,Why do these tears come to me? It's like a song to fans waiting for a long gap.,0.1531,0.103,0.761,0.136,pos
220,Even if you listen to Jeonju,0.0,0.0,1.0,0.0,neu
221,Does Mnet not really work? Can't you test the microphone properly? Should you only think about your bowl? What's wrong with that? He's already queen and you can't trample it.,-0.6199,0.123,0.877,0.0,neg
222,"I thought it was because I was breathing in the park, but I was really lamented to see why Mike was tapping Mike in the middle.",-0.5483,0.139,0.861,0.0,neg
223,It's because of the mic chewing the lyrics every time.,0.0,0.0,1.0,0.0,neu
224,"I first heard Jeonju
I can't really say it.",0.0,0.0,1.0,0.0,neu
225,Really; I heard only Jeonju and creepy and thrilled.,0.4404,0.0,0.707,0.293,pos
226,Let's care about the real sound. Why?,0.4939,0.0,0.652,0.348,pos
227,"This sister's voice is a real national treasure.
Give me that microphone ㅡ ㅡ",0.296,0.0,0.82,0.18,pos
228,Eo ~,0.0,0.0,1.0,0.0,neu
229,I didn't know that spring would listen to this song live again. Thank you so much and thank you again. Thank you so much.,0.7759,0.0,0.72,0.28,pos
230,Bom ... why did your face go like that ... ㅠㅠ Too bad ...,-0.25,0.194,0.667,0.139,neg
231,Mike doesn't come in and keep on tapping ...,0.0,0.0,1.0,0.0,neu
232,Good spring,0.4404,0.0,0.256,0.744,pos
233,Park Bom I don't know anything else but I'm not good at singing,-0.4782,0.22,0.78,0.0,neg
234,"I don't know if Mike's broken, I thought I was going to cry out with emotions.",-0.7351,0.36,0.64,0.0,neg
235,"Despite the bad microphone, the sound and the song are so good",0.7644,0.0,0.603,0.397,pos
236,I was just a singer in the idol when I was rated as an idol and an artist,0.0,0.0,1.0,0.0,neu
237,Why why why ~ !! Is Parkbom the last? Better than Mamamu ~ !!,0.6209,0.0,0.73,0.27,pos
238,"There was definitely a problem with the microphone. If you didn't fix it at the time of the rehearsal, it's likely that Mnet didn't take any action on the sound side.",0.0,0.081,0.838,0.081,neu
239,I authenticated live because of a microphone issue.,0.0,0.0,1.0,0.0,neu
240,I also heard from a two-year army.,0.0,0.0,1.0,0.0,neu
241,"I'll go see them when I perform 2NE1 at the Olympic Park ... Can you come back?
(Reviewing the performance of 2NE1 collection in KT)",0.0,0.0,1.0,0.0,neu
242,"Where are you going?
That stage grasping power !!!",0.0,0.0,1.0,0.0,neu
243,"What is M.net?
Disappointment
As an older person
The microphone is on stage
Not the 80's",-0.5106,0.18,0.82,0.0,neg
244,The world .. I was good at John Burber.,0.4404,0.0,0.707,0.293,pos
245,"Park Bom is not good at live ,, 1:24 Look here, it's a problem with Mike even if you make a cancer ,, ;;;; The other part is that Park Bom is so good at live that you don't feel like you can't live",-0.9189,0.275,0.725,0.0,neg
246,"It is not a problem of Park Bom's ability, but a performer who does not fit the program format. No matter how old and solo Park Bom sings like crazy, it's hard to be number one. Season 2 If you're going to do it, take a solo.",-0.4653,0.191,0.638,0.171,neg
247,When I came out that song was at the end of my teens,0.0,0.0,1.0,0.0,neu
248,I first knew it was a good two-one song.,0.4404,0.0,0.674,0.326,pos
249,"Mike's worse than spoon beetle.
Rather, I'm ruining the microphone",-0.6249,0.389,0.611,0.0,neg
250,Listening to Ao TV is also a microphone;,0.0,0.0,1.0,0.0,neu
251,Are you messing with Mnet Mike? !!!,0.0,0.0,1.0,0.0,neu
252,This is Mike's problem. Spring hits Mike in about 2-26 seconds. TT TT Mnet What are you doing? I'm ruining this masterpiece,0.2903,0.164,0.665,0.171,pos
253,I frown and tears come,-0.2263,0.388,0.612,0.0,neg
254,I'm signaling that something is wrong with my microphone at 25 minutes.,-0.4767,0.22,0.78,0.0,neg
255,Why are you going to tears?,-0.2263,0.275,0.725,0.0,neg
256,"It's good for Mike to be controversial, and it's better for him than Mike. Please",0.743,0.086,0.526,0.388,pos
257,"My voice is so unusual. Even with my eyes closed, this is Park Bom.",0.0,0.0,1.0,0.0,neu
258,Dogs aren't working Mnet ??? Why did you do Mike? ㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ ㅠㅠㅠ,0.0,0.0,1.0,0.0,neu
259,Ugh Creepy,-0.4215,0.737,0.263,0.0,neg
260,"I have a breath, but if I have an ear, I'm hanging up while I'm listening. That's the microphone.",0.0,0.0,1.0,0.0,neu
261,Mike can't make a sound.,0.0,0.0,1.0,0.0,neu
262,Sound Processing Park Bom-man Why is it so bad? Why do you think it's pressed in the middle?,-0.7051,0.222,0.778,0.0,neg
263,Mic,0.0,0.0,1.0,0.0,neu
264,After all pro is tough even if equipment is garbage,-0.128,0.143,0.857,0.0,neg
265,"Thank you for singing and thank you for calling me. The sound is so bad that I couldn't put Park Bom next time, if you care about the acoustics. He is a great singer.",0.7788,0.103,0.617,0.281,pos
266,Something's getting louder and louder ... Is there a microphone problem?,-0.4019,0.231,0.769,0.0,neg
267,I'm upset,-0.3818,0.722,0.278,0.0,neg
